dataset,video,video_id,video_tag,method,qp,bytes,bitstream_path,bitstream_sha256,real_rans
uvg,HoneyBee,2,uvg_02,stage_a,1,33618,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/stage_a_qp1.bin,3360af6d04ff2085d10dfb0153abb698fb905ebbdb4573cf7502b384bd248da6,True
uvg,HoneyBee,2,uvg_02,stage_a,2,42153,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/stage_a_qp2.bin,934d0f1f27c13ec6741cfeb8455643935f870a32d463188f18d506ffac1a4315,True
uvg,HoneyBee,2,uvg_02,stage_a,3,52338,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/stage_a_qp3.bin,6eef18496e35c8fe02092fa1b68b8320ab0d3b7df8b807d9dd975c4c4c9ac99f,True
uvg,HoneyBee,2,uvg_02,beta_low,0,25969,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_low_qp0.bin,206519dcbbe6b18b7c35a2501ed45f857ee841e69a77641bff2640d9e7a66b2c,True
uvg,HoneyBee,2,uvg_02,beta_low,1,31779,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_low_qp1.bin,5f040a9cb392979e4b9c6ad805f70b4a08ec06893c433554a5c9829f611b009f,True
uvg,HoneyBee,2,uvg_02,beta_low,2,39283,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_low_qp2.bin,25ebcae90baf4530a05d0150b1792dd5252062853b0235cb6885d5acc498e7e2,True
uvg,HoneyBee,2,uvg_02,beta_low,3,48738,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_low_qp3.bin,c322f2c7646db929059871e98a6e86860fb6b2ab32159525cc797444235c8008,True
uvg,HoneyBee,2,uvg_02,beta_mid,0,23151,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_mid_qp0.bin,e6af4f21528cfb78a35e5a4c072eb6618b15ee73314490801746a8dfb61ad024,True
uvg,HoneyBee,2,uvg_02,beta_mid,1,29388,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_mid_qp1.bin,5e6fab0a4149e8759525b26f27c28e28bf9f7088fd63187374e6a3b26ff98519,True
uvg,HoneyBee,2,uvg_02,beta_mid,2,37211,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_02/beta_mid_qp2.bin,8934366ffcdf0e0dc6bd0e1afb9a13bf3c46cfe4826481434aa7c4a504f4e747,True
