dataset,video,video_id,qp,granularity,frame,trajectory_id,parent_trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,prefix_rate_ratio,cumulative_RGB_MSE,number_1x_tiles,number_2x_tiles,modified_frames,beam_rank,bitstream_hash,DPB_state_hash
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3851,uvg_02_qp1_G4_T3790,24119,24039,1.0033279254544698,0.052678112289868295,24225,765,2,9,1216cc27efac109d29099c5cc78bfa46ffb0e67c273bd987de7df6babea904e7,d0180ba434608c25051ae650c8a21526d10e8342a5dd2f177090c346776a1178
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3848,uvg_02_qp1_G4_T3790,24108,24039,1.0028703357044801,0.052678207866847515,24429,561,2,10,803799e07fc3fe30b5de068c093bbb9ef9f1a927180f47e6a696d7f0d8729a67,2bd9a036f5b2c89fa58462f5924c35f8e13478e68f6d1e661a6224c33e58eaa6
uvg,HoneyBee,2,1,G4,49,uvg_02_qp1_G4_T3842,uvg_02_qp1_G4_T3784,24246,24039,1.0086110071134406,0.05267849564552307,23868,1122,4,11,1ea4ae17561f5377484d691d0a359b3c01eb371e3c20b8866570254913283efe,6ab74f68ae59c1320dfd6c6e3f39864955c1d50b08455bd3f03edcbfaa8a5b77
uvg,HoneyBee,2,1,G4,49,BASELINE_PATH,BASELINE_PATH,24039,24039,1.0,0.0527405267348513,24990,0,0,-1,50c235cea1f1df5dcf30f40379adf9a4145763c7102c08482d7dd10c08246ffa,b2dadb36dc886c45fb26b72e7c17d1f303b380dac0c528c303bdf3cba3ee61e4
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3882,uvg_02_qp1_G4_T3832,24073,24078,0.9997923415566077,0.05369644076563418,24633,867,2,0,196b62b78aeeaf1b6ef2242afd0d20424e24a9b15bda4d585c7babfb9199705f,d07d7fdf61e8ebd9d36fa4c96d372281b6e5b66900ad4e2670724498bd8f8706
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3884,uvg_02_qp1_G4_T3835,24313,24078,1.0097599468394385,0.0536737481597811,24582,918,4,1,c74915267f04eafe905af87f8b2ed550eeee4fc6d1b3c7dac8ffcb7fdbcd6388,c33805d612c4c3c46dbcf3b6abbe301b488bd462dfaaf18a912af0b848c9fe28
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3885,uvg_02_qp1_G4_T3847,24096,24078,1.0007475703962123,0.05367438786197454,24990,510,1,2,36da3760464e3595e179ed48eff39d5b5c9b41dea19c23b43fd7167414bec6b2,91a8f5ae8e75128b3db0f9dfc0f30fb77a3651e271a6ed15f6119a375037f5de
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3886,uvg_02_qp1_G4_T3864,24019,24078,0.9975496303679707,0.053722456854302436,23613,1887,4,3,e1f0e033c3a032ffffb3f57b89ca86434847b248797dc7e6c4851b354e45ae8a,fd9394cafc8d0b4a5109e1d847dc455d808b53345147fdcfc9e4a9cd33829478
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3893,uvg_02_qp1_G4_T3862,23987,24078,0.9962206163302599,0.053723334276583046,23970,1530,3,4,5be77d4584fc7df8557f890badd4e1368d374c784edd954dd5a9e553f98c0147,852976a6dad8d37681319fba70e454ac2118e674381f19b6501293dd14351252
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3900,uvg_02_qp1_G4_T3869,23954,24078,0.9948500706038708,0.05374951724661514,23613,1887,4,5,0d70b3ef53efbc7575b7325c8c381f004e7d425b6483eb72af5bf4559671720a,63a62a3d6201ce15b31a7d2380ae101ef4e62057a9db27ed5f2e990f99807378
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3907,uvg_02_qp1_G4_T3872,23944,24078,0.9944347537170861,0.05381098377984017,23460,2040,4,6,9a06f3266d853523c0b5e7623c67d8173e8b6f460493706567b6c93ec810461c,f4f9cf2738d73b82367ba9e2a05c413f0923427fbcacc69243093aa8f824dd70
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3883,uvg_02_qp1_G4_T3836,24365,24078,1.0119195946507185,0.0536744863493368,24531,969,5,7,e02e951abc6879b9c84961aee1f12942dfc82e5f83ef944f31f3701e875cb227,f3bbcf231d79cb83f745c281364d68f026d202c49f46b4e189b42296f0afc51c
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3914,uvg_02_qp1_G4_T3837,24372,24078,1.0122103164714678,0.05367686750832945,24327,1173,5,8,329971ed853456de02ba4e6b0b48737f009b53f330df84f4fc9e265a4521dd36,2cd99c737bc28c487ca139ad83b77917fef7612e744967828d1e89a2af6fe6b7
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3916,uvg_02_qp1_G4_T3848,24146,24078,1.0028241548301353,0.05367706622928381,24939,561,2,9,f4e285e086b07617b390b323930d32051a949bed42885150199e9d992c8feeed,bfe8565e3763b563d17cb5e7f7c743c52057003d770e2bfaee478f21140ee0af
uvg,HoneyBee,2,1,G4,50,uvg_02_qp1_G4_T3915,uvg_02_qp1_G4_T3851,24157,24078,1.0032810034055986,0.05368010955862701,24735,765,2,10,09b2deb4db74cb8b82fa068892462ca5a0b1598bd2486f0c235cc46f4130d9b1,073a405374ab67dadc5efd204f932ab2077e3eff66373c66e55f3fedb940f906
