method,checkpoint,scope,video_index,qp,num_transitions,FloLPIPS
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,4,2,63,0.09668776014494518
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,4,3,63,0.0865000429607573
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,5,0,63,0.2580325319653466
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,5,1,63,0.2241259803847661
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,5,2,63,0.20849550574544876
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,5,3,63,0.1906354682786124
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,6,0,63,0.12075784429907799
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,6,1,63,0.1062833040006577
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,6,2,63,0.09471780156332349
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,6,3,63,0.0846209888538671
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,7,0,63,0.14162415348821217
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,7,1,63,0.12157840447293387
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,7,2,63,0.10611508727546722
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,video,7,3,63,0.09349473512598447
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,pooled_qp,,0,504,0.16475452442047378
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,pooled_qp,,1,504,0.1470022443016725
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,pooled_qp,,2,504,0.13239417677479132
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,pooled_qp,,3,504,0.11905886409508568
