method,qp,position,num_P_frames,frame_index_min,frame_index_max,mean_real_bits,mean_LPIPS,mean_DISTS,position_definition,bits_definition
original,0,58,8,58,58,724.0,0.16823755484074354,0.13263770192861557,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,59,8,59,59,819.0,0.1686092298477888,0.13184086233377457,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,60,8,60,60,6391.0,0.165330458432436,0.13277550041675568,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,61,8,61,61,2602.0,0.162552029825747,0.1296275556087494,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,62,8,62,62,813.0,0.16897685546427965,0.1323431059718132,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,63,8,63,63,1045.0,0.16882316581904888,0.1356220468878746,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,early,168,1,21,5212.619047619048,0.1782823388154308,0.10936515920218967,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,middle,168,22,42,3403.7619047619046,0.17192516564613297,0.11677522921846026,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,0,late,168,43,63,2776.0,0.16656639923652014,0.12541731979165757,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,1,8,1,1,29723.0,0.1567594399675727,0.09133780002593994,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,2,8,2,2,9038.0,0.14998586848378181,0.0935705155134201,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,3,8,3,3,7455.0,0.1518858326599002,0.09515271335840225,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,4,8,4,4,7378.0,0.15327277407050133,0.0965646430850029,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,5,8,5,5,7210.0,0.15184193011373281,0.0945301353931427,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
original,1,6,8,6,6,5693.0,0.15529223158955574,0.09416516125202179,continuous distance from only I-frame reset at frame0; DPB size1; np.array_split thirds,actual serialized P-frame bytes including NAL/QP headers; initial SPS belongs to I-frame
