dataset,video,video_id,qp,frame,round,edit_type,symbol_family_1,symbol_index_1,old_value_1,new_value_1,symbol_family_2,symbol_index_2,old_value_2,new_value_2,frame_bytes_before,frame_bytes_after,delta_frame_bytes,cumulative_bytes_after,baseline_cumulative_bytes,budget_bank,RGB_MSE_before,RGB_MSE_after,PSNR_before,PSNR_after,LPIPS_before,LPIPS_after,DISTS_before,DISTS_after
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,5,0,single,w0,24485,-1,0,,,,,725,724,-1,8066,8066,0,0.0013441321207210422,0.0013393745757639408,28.71558040448884,28.730979491733372,0.06118243187665939,0.06116298586130142,0.06018483638763428,0.06015366315841675
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,5,1,single,w0,24505,0,-1,,,,,724,724,0,8066,8066,0,0.0013393745757639408,0.0013385439524427056,28.730979491733372,28.73367363744932,0.06116298586130142,0.061169348657131195,0.06015366315841675,0.06011343002319336
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,5,2,pair,w1,24518,1,0,w0,24537,0,-1,724,724,0,8066,8066,0,0.0013385439524427056,0.0013374645495787263,28.73367363744932,28.7371772042926,0.061169348657131195,0.06114303320646286,0.06011343002319336,0.06013697385787964
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,1,0,single,w1,24590,0,-1,,,,,2090,2090,0,6991,6991,0,0.0013461055932566524,0.0013406489742919803,28.709208711893158,28.726849197503853,0.06159535422921181,0.061563827097415924,0.061688899993896484,0.06167793273925781
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,2,0,single,w1,24576,0,-1,,,,,1195,1197,2,8192,8192,0,0.0014069079188629985,0.0014013992622494698,28.517343259045063,28.534381154717202,0.058521416038274765,0.058503229171037674,0.05720299482345581,0.057204484939575195
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,3,0,pair,w1,24576,1,0,w0,24487,0,-1,1321,1320,-1,9516,9516,0,0.0012410376220941544,0.0012365113943815231,29.06215052650967,29.078018772855224,0.05394807830452919,0.05394689738750458,0.052554309368133545,0.052540600299835205
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,4,0,single,w0,24529,0,-1,,,,,915,916,1,10436,10438,2,0.0012736638309434056,0.0012715603224933147,28.949451839564055,28.95663032181497,0.05467820167541504,0.05466120317578316,0.054624736309051514,0.05457925796508789
uvg,Beauty,0,1,1,0,pair,w1,24659,1,0,w1,24530,0,-1,1372,1372,0,4405,4405,0,0.0026593024376779795,0.002658501034602523,25.752322683301653,25.753631663364196,0.16344770789146423,0.16341060400009155,0.13325732946395874,0.13328903913497925
uvg,Beauty,0,1,1,1,single,w1,24542,-1,0,,,,,1372,1371,-1,4404,4405,1,0.002658501034602523,0.002657325007021427,25.753631663364196,25.75555325482851,0.16341060400009155,0.16343435645103455,0.13328903913497925,0.13323462009429932
uvg,Beauty,0,1,1,2,single,w0,24523,0,-1,,,,,1371,1372,1,4405,4405,0,0.002657325007021427,0.0026547375600785017,25.75555325482851,25.75978405596914,0.16343435645103455,0.16341270506381989,0.13323462009429932,0.1330946683883667
uvg,Beauty,0,3,1,0,single,w0,24531,1,0,,,,,1473,1473,0,6109,6109,0,0.0017535182414576411,0.0017513451166450977,27.560897118907256,27.566282642615818,0.138290137052536,0.1382288783788681,0.1261807680130005,0.12637603282928467
uvg,Beauty,0,3,1,1,single,w0,24539,0,-1,,,,,1473,1473,0,6109,6109,0,0.0017513451166450977,0.0017513144994154572,27.566282642615818,27.566358567172248,0.1382288783788681,0.1382831633090973,0.12637603282928467,0.12631547451019287
uvg,Beauty,0,3,2,0,single,w0,24483,0,-1,,,,,684,685,1,6798,6798,0,0.0018127714283764362,0.0018070591613650322,27.41656952469777,27.43027628826018,0.13591143488883972,0.13589362800121307,0.13177382946014404,0.13163834810256958
uvg,Beauty,0,3,3,0,single,w1,24538,0,1,,,,,701,702,1,7504,7504,0,0.0015280713560059667,0.0015262577217072248,28.15856365134625,28.163721258406035,0.12648841738700867,0.1264750361442566,0.12507563829421997,0.12509685754776
uvg,Beauty,0,3,4,0,single,w0,24481,0,-1,,,,,532,533,1,8041,8042,1,0.001682610367424786,0.0016780045116320252,27.74016439501292,27.752068758230166,0.13307875394821167,0.13304860889911652,0.13233894109725952,0.13217425346374512
uvg,Beauty,0,3,4,1,single,w1,24568,0,-1,,,,,533,534,1,8042,8042,0,0.0016780045116320252,0.0016758593264967203,27.752068758230166,27.757624393395673,0.13304860889911652,0.13307079672813416,0.13217425346374512,0.13222002983093262
uvg,Beauty,0,3,4,2,single,w1,24564,0,-1,,,,,534,534,0,8042,8042,0,0.0016758593264967203,0.0016743314918130636,27.757624393395673,27.761585542203946,0.13307079672813416,0.13303862512111664,0.13222002983093262,0.13219928741455078
uvg,Bosphorus,1,1,1,0,single,w0,24483,-1,0,,,,,3872,3871,-1,7795,7796,1,0.0010126575361937284,0.0010109045542776585,29.945374009255055,29.95289846889039,0.1737053394317627,0.17365939915180206,0.13166534900665283,0.13170182704925537
uvg,Bosphorus,1,1,2,0,single,w1,24855,0,-1,,,,,918,919,1,8718,8720,2,0.000956839241553098,0.0009552800911478698,30.191610218584874,30.198692732274672,0.16353760659694672,0.16358351707458496,0.12886762619018555,0.12892299890518188
uvg,Bosphorus,1,1,2,1,single,w1,24484,0,-1,,,,,919,920,1,8719,8720,1,0.0009552800911478698,0.000954905990511179,30.198692732274672,30.200393821459947,0.16358351707458496,0.16358532011508942,0.12892299890518188,0.12890475988388062
uvg,Bosphorus,1,1,2,2,single,w1,24722,0,1,,,,,920,920,0,8719,8720,1,0.000954905990511179,0.000954402785282582,30.200393821459947,30.202683019120116,0.16358532011508942,0.163573756814003,0.12890475988388062,0.12890338897705078
uvg,Bosphorus,1,1,2,3,single,w1,24736,0,-1,,,,,920,921,1,8720,8720,0,0.000954402785282582,0.0009543300257064402,30.202683019120116,30.203014119232794,0.163573756814003,0.1635548174381256,0.12890338897705078,0.12902361154556274
