sample,initialization,objective,step,psnr,lpips,ms_ssim,relative_delta_l2,psnr_minus_BASE_ONLY_C,lpips_minus_BASE_ONLY_C,dominates_BASE_ONLY_C,psnr_minus_REFERENCE_FP32,lpips_minus_REFERENCE_FP32,dominates_REFERENCE_FP32,psnr_minus_ORIGINAL_FP16,lpips_minus_ORIGINAL_FP16,dominates_ORIGINAL_FP16
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_LPIPS,25.0,29.60690447548311,0.1410590559244156,0.9057108137054216,0.048316406210807385,0.3214536787979405,-0.0268414169549942,True,1.709910371011997,-0.010362550616264343,True,1.7142281019732373,-0.01046338677406311,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_LPIPS,50.0,30.459198658083444,0.12970465421676636,0.9148291399047906,0.07749243809653555,1.173747861398276,-0.03819581866264343,True,2.5622045536123323,-0.021716952323913574,True,2.5665222845735727,-0.02181778848171234,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_LPIPS,100.0,31.55909115547459,0.10751944780349731,0.9303109264280537,0.11879214773343577,2.2736403587894216,-0.060381025075912476,True,3.662097051003478,-0.04390215873718262,True,3.6664147819647184,-0.044002994894981384,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ORIGINAL_START,MSE_LPIPS,150.0,32.395846428826424,0.0916803777217865,0.9410169258294703,0.15469797403778565,3.1103956321412554,-0.07622009515762329,True,4.498852324355312,-0.05974122881889343,True,4.503170055316552,-0.0598420649766922,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_ONLY,0.0,29.086623202639245,0.16660435497760773,0.8974796602454872,0.0,-0.1988275940459232,-0.001296117901802063,False,1.1896290981681332,0.015182748436927795,False,1.1939468291293736,0.015081912279129028,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_ONLY,25.0,30.284802407241163,0.1603507399559021,0.908278508408579,0.04054574154953043,0.9993516105559941,-0.00754973292350769,True,2.3878083027700505,0.008929133415222168,False,2.392126033731291,0.008828297257423401,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_ONLY,50.0,30.91827491857884,0.15293952822685242,0.9180795223701832,0.06642689521226201,1.6328241218936732,-0.014960944652557373,True,3.0212808141077296,0.0015179216861724854,False,3.02559854506897,0.0014170855283737183,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_ONLY,100.0,31.91929272175306,0.13951119780540466,0.9331754590844853,0.11102892999056216,2.633841925067891,-0.028389275074005127,True,4.0222986172819475,-0.011910408735275269,True,4.026616348243188,-0.012011244893074036,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_ONLY,150.0,32.740239045901056,0.12789671123027802,0.9437739747429433,0.14960600293904788,3.4547882492158877,-0.040003761649131775,True,4.843244941429944,-0.023524895310401917,True,4.847562672391184,-0.023625731468200684,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_LPIPS,0.0,29.086623202639245,0.16660435497760773,0.8974796602454872,0.0,-0.1988275940459232,-0.001296117901802063,False,1.1896290981681332,0.015182748436927795,False,1.1939468291293736,0.015081912279129028,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_LPIPS,25.0,30.28437467941658,0.15045173466205597,0.9089977612313734,0.04106965625948133,0.9989238827314111,-0.01744873821735382,True,2.3873805749454675,-0.0009698718786239624,True,2.391698305906708,-0.0010707080364227295,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_LPIPS,50.0,30.91997811038909,0.13428544998168945,0.9189464253098784,0.0686949775003145,1.63452731370392,-0.03361502289772034,True,3.0229840059179764,-0.01713615655899048,True,3.0273017368792168,-0.017236992716789246,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_LPIPS,100.0,31.925001205612602,0.10996360331773758,0.9338460440760178,0.11663183227298386,2.639550408927434,-0.05793686956167221,True,4.02800710114149,-0.04145800322294235,True,4.032324832102731,-0.04155883938074112,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,ZERO_START,MSE_LPIPS,150.0,32.757682213391604,0.09183868765830994,0.9443647124610549,0.15798299145258002,3.4722314167064354,-0.07606178522109985,True,4.860688108920492,-0.059582918882369995,True,4.865005839881732,-0.05968375504016876,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_ONLY,0.0,27.714984921980943,0.14560239017009735,0.8961471057730718,0.0,-1.8191771994088448,-0.01773633062839508,False,0.0,0.0,False,0.0034869196205633557,-2.4273991584777832e-05,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_ONLY,25.0,29.615656875791036,0.13662999868392944,0.9098671781513232,0.048711380970378665,0.08149475440124831,-0.02670872211456299,True,1.9006719538100931,-0.008972391486167908,True,1.9041588734306565,-0.008996665477752686,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_ONLY,50.0,30.4971076782731,0.13316795229911804,0.9180158942189199,0.07553591907450832,0.9629455568833123,-0.03017076849937439,True,2.782122756292157,-0.012434437870979309,True,2.7856096759127205,-0.012458711862564087,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_ONLY,100.0,31.573770151000527,0.1249561458826065,0.9319829203857964,0.10972608416521856,2.03960802961074,-0.038382574915885925,True,3.8587852290195848,-0.020646244287490845,True,3.862272148640148,-0.020670518279075623,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_ONLY,150.0,32.367803557382835,0.11784622073173523,0.9418959751964335,0.14059522894000842,2.833641435993048,-0.0454925000667572,True,4.652818635401893,-0.02775616943836212,True,4.656305555022456,-0.0277804434299469,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_LPIPS,0.0,27.714984921980943,0.14560239017009735,0.8961471057730718,0.0,-1.8191771994088448,-0.01773633062839508,False,0.0,0.0,False,0.0034869196205633557,-2.4273991584777832e-05,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,ORIGINAL_START,MSE_LPIPS,25.0,29.61462539518759,0.1320745050907135,0.9100613894182817,0.04868413784511092,0.08046327379780394,-0.03126421570777893,True,1.8996404732066487,-0.01352788507938385,True,1.903127392827212,-0.013552159070968628,True
