dataset,video,video_id,qp,trajectory,granularity,frame,actual_qp,actual_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,DPB_state_hash,w1_hash,latent_hash,RGB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,30,1,673,0.0028207094874233007,25.49641640716649,0.9865213632583618,0.12582026422023773,0.10848033428192139,2e8a6e3130b78f2b38570369d5d8fb97b2140b67d92f526d7f015fc5c386f097,77d69442b23a2c408a40e52ded4a6112b1224a92d7366f462618264e0daa073a,7e104fd3c5f0690b142c6707d21f18e949398f1509624f4a7496d003ff088c19,6b8da27edfaf1d1ce44a717be47a52fede996a3bb06b394966c0001fc32d13a6
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,31,2,390,0.002865533111616969,25.427945688466245,0.9863234758377075,0.12103915959596634,0.10897541046142578,5a66b6d91efccd703fc5933aecefd7a65b3a0593cd85d9591c922109d8edb5bf,5d1d6fb8c2fe3679df85ac01d9bee68605a5389009a2af8911e6cc6c8e261a69,5563636f3ce7729b1ca08914a0c1e64710b57a990b160a0ae05e88583fc9daa2,227d37f0cd69646e8fcb58bc6aacf39f500d8553afcfb3ee31ac968cfc24fc3e
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,32,1,708,0.002861930290237069,25.43340948820156,0.9864778518676758,0.11989793926477432,0.1104629635810852,0760c4d19e4a4349cbb2e3badc723abb5e232c776ae519b777b9a19a5ff617dd,c260ff074b2e95d4242f80279e53701a56bdfcde5753d63de32fe82bccafa103,ee3befea65f78780f20b557f7b066c7dc84809633bf27240fb6596170a5178a2,fcea884ca54fabf2bbd87d2adae51c62b259145e9b8df4689a0dd09cd1cb0f58
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,33,3,872,0.002684213686734438,25.7118291351215,0.9871270060539246,0.11320361495018005,0.10492885112762451,1117d6030289c750c593fc8995905c8d7ffd420fb8fb60dedfc9d4b21d9e7e9d,a588159de2b8f5f1852a617d5b98127c1fc8c33cfd520c51cfbc270bddd4ed3c,7387513e5928f1eb98708d6b8212e4a957383c2545b8af41f0ba84cdca18cb33,4a91f863214eb39b5c7ffdccd17dabcea8cae4bec199eafbebc59f628714b184
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,34,1,512,0.0026629792992025614,25.746322095569436,0.9874109625816345,0.11459259688854218,0.10546261072158813,7c878a169f4c036a7ba3acc02aa5e0c84af3b0ba414d1305876e20f1a8cb46b5,67ac03f48815391c643185ae4443359224e0859d745796186e0b8cb96d0278dc,e1fd7db744c1e0d1a8c34a315b59e24650fc5582f0344524edd02f87dd35f980,776543fb3278ffb1938a7633487573794c4233bc3b4ece0c5face5ccdbff341d
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,35,2,185,0.002770016435533762,25.57517654097846,0.9867553114891052,0.11447754502296448,0.10613143444061279,0ad8627ed8ddf1a88d5675152ec9765223bfbe275781c39bba7df614ef5c63dd,6eaead48a3b4b308c59adbd8f37c897d45283c11cbdc43f3c7785ff3f9561d44,f85aecf311514fb438552692982a87d032d7a33245e99ee112a807da3989ed37,f56199c831398959c48b431c15fa2985e678e66d9e4413f16213efe6fcd08067
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,36,1,820,0.002833742881193757,25.476395578798602,0.9865540266036987,0.11404365301132202,0.10744386911392212,6e06c78b801297a10fbb48761464b9f3ed5f1cd36e3c32ea7ab39f94bf032da8,323c1b8c9fbe7377a5a50241271159e9c9fd5350dfb625d062adfff2284cde27,258332412cd0f3851db8a069674d84b571a5451b505331305c6397bf464fe564,49a2a0a5a3b19e69e4964b89e7bd8467b14d2f16157a2f47594dfb573aa3b627
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,37,2,329,0.0027971414383500814,25.53285572834074,0.9864932298660278,0.11137589812278748,0.10582637786865234,b2af35e5de9af4f40b2b1bf35aa4e7eeb19fd5eb11711b78de46e87108a0d600,dc6dff472f3bf871d87c5af034b014a211797f5ff3dd9d9ba3205260af975b1b,a4cb2dfb1f985106f16b369f79d305cbec8e6482f1e930cf044b0b7a3b218fd6,da5db114e396e43f00fe5fb1a0276b1214ce80ac9e5b49ff59f597b0f99f4956
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,38,1,510,0.0027473964728415012,25.610786636436043,0.9868876338005066,0.11091290414333344,0.10558980703353882,7e78f032d0c1b339759847ff07b06711289ff48f0a1a095d3020c16492e2e02a,9048110e9510bd910c7ae5080cc2981d2db47aa055d3b84de31b2948e31aa278,2f8f09cb831ee3c481a232efbd2dfb7bf2b68c2bc21cefddd1110c1548f6a16c,0c1e4f39d169c7eecd9bc6a271976e94e5567e2a33029f41b7cb3d4ce38db45e
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,BASELINE,39,2,208,0.0028278797399252653,25.485390635446503,0.9863515496253967,0.1140342503786087,0.10315430164337158,a961435cadbdb8aad7261edd0e9e0e4b632de0127839882ca553313bfad8f0d7,36ef4bfd91c653bcdda72bf08a7b3280d05ffd2f0c0b2535ac3b06aa13e32413,ff53721b5f09968e58ab71671086c8d7f5ea4bfe5edb55385c3f11bf3a324a48,37c2f7f17dbc558dd782f88d5dd10ab2ace82d7e739be0e342785ae314f44649
