dataset,video,video_id,qp,trajectory,granularity,total_actual_bytes,bpp,kbps,MSE,PSNR,MS_SSIM,LPIPS,DISTS
uvg,Beauty,0,1,uniform_2x,GLOBAL,23064,0.0013903356481481481,345.96,0.0017060662412404781,27.703321625172602,0.9765854720026255,0.1560604937840253,0.1452556997537613
uvg,Beauty,0,1,uniform_4x,GLOBAL,23064,0.0013903356481481481,345.96,0.001702961224509636,27.711648537622786,0.9766181707382202,0.1559500868897885,0.14504148997366428
uvg,Beauty,0,1,random_G8_20pct,G8,25139,0.0015154200424382716,377.085,0.0016942510555963963,27.733833002907552,0.9767701085656881,0.15328737488016486,0.14143404178321362
uvg,Beauty,0,1,random_G8_35pct,G8,25115,0.0015139732831790124,376.725,0.0016979605697997613,27.723888359243432,0.976642457768321,0.1537184757180512,0.14247940201312304
uvg,Beauty,0,1,random_G8_50pct,G8,24910,0.0015016155478395062,373.65,0.001695704362646211,27.730507977612742,0.9767436385154724,0.15388560947030783,0.14413985330611467
uvg,Beauty,0,3,baseline,BASELINE,41349,0.0024925853587962963,620.235,0.0015564522400381975,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766
uvg,Beauty,0,3,uniform_2x,GLOBAL,40428,0.0024370659722222224,606.42,0.001579824402142549,28.023038583737566,0.9784889686852694,0.13282702839933336,0.1359382225200534
uvg,Beauty,0,3,uniform_4x,GLOBAL,40451,0.002438452449845679,606.765,0.0015746906810818473,28.037675870510494,0.9785525100305676,0.13318717619404197,0.13588015921413898
uvg,Beauty,0,3,random_G8_20pct,G8,43780,0.0026391300154320987,656.7,0.0015673262078053085,28.057796963353454,0.9786502486094832,0.13013517810031772,0.13217074051499367
uvg,Beauty,0,3,random_G8_35pct,G8,43635,0.0026303891782407406,654.525,0.0015652473539375933,28.063348467049675,0.9786724578589201,0.13067754765506834,0.132276956923306
uvg,Beauty,0,3,random_G8_50pct,G8,43436,0.002618393132716049,651.54,0.001565049220516812,28.064010334779585,0.9786491421982646,0.13105589151382446,0.1337795676663518
