dataset,video,video_id,qp,granularity,target_rate_ratio,baseline_bytes,target_bytes,selected_bytes,selected_rate_ratio,selection_type,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bits,mode_map_bytes,header_bytes,modified_frames,total_tiles,number_1x_tiles,number_2x_tiles,PSNR,MS_SSIM,LPIPS,DISTS,decode_audit_pass,bitstream_path,bitstream_sha256
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G4,0.99,60467,59862,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G4,0.975,60467,58955,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G4,0.95,60467,57443,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G4,0.9,60467,54420,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,0.99,60467,59862,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,0.975,60467,58955,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,0.95,60467,57443,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,0.9,60467,54420,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,0.99,60467,59862,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,0.975,60467,58955,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,0.95,60467,57443,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,0.9,60467,54420,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G4,0.99,22057,21836,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G4,0.975,22057,21505,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G4,0.95,22057,20954,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G4,0.9,22057,19851,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,0.99,22057,21836,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,0.975,22057,21505,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,0.95,22057,20954,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,0.9,22057,19851,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G16,0.99,22057,21836,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G16,0.975,22057,21505,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G16,0.95,22057,20954,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G16,0.9,22057,19851,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G4,0.99,41349,40935,40921,0.9896490846211516,MIXED,4622,10154,22474,2978,1380,177,516,8,32130,29659,2471,28.09025202327787,0.9788243407383561,0.13003461761400104,0.1327629964798689,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_G4_target_0.990_uvg_00_qp3_G4_T5569.bin,86e2791471cff29b04d5ce38b5ff1f810005dbcbaa497174ce86948c21e299d9
uvg,Beauty,0,3,G4,0.975,41349,40315,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G4,0.95,41349,39281,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G4,0.9,41349,37214,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G8,0.99,41349,40935,40935,0.9899876659653196,MIXED,4622,10114,22738,2459,1241,165,837,18,8505,6899,1606,28.095396260795745,0.9787948606535792,0.1307463450357318,0.13363786414265633,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_1_structured_mixed_precision/bitstreams/uvg_00_qp3_G8_target_0.990_uvg_00_qp3_G8_T5580.bin,4502fde35c5f6655a5a947c5e555108ca6a3344f546c8a327e5d21b3c7d9eaeb
uvg,Beauty,0,3,G8,0.975,41349,40315,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G8,0.95,41349,39281,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G8,0.9,41349,37214,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G16,0.99,41349,40935,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G16,0.975,41349,40315,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G16,0.95,41349,39281,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,3,G16,0.9,41349,37214,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G4,0.99,30994,30684,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
uvg,Bosphorus,1,1,G4,0.975,30994,30219,,,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,
