split,video,alpha,scope,comparison_type,M2_base_bytes,M2_enhancement_bytes,M2_total_bytes,M2_budget_bytes,M2_stream_sent,M2_selected_label_nonzero_frames,M2_actual_nonzero_frames,M2_Z_count,M2_E_count,M2_O1_count,M2_O2_count,M2_psnr,M2_ms_ssim,M2_lpips,M2_psnr_minus_ZERO,M2_ms_ssim_minus_ZERO,M2_lpips_minus_ZERO,M4_base_bytes,M4_enhancement_bytes,M4_total_bytes,M4_budget_bytes,M4_stream_sent,M4_selected_label_nonzero_frames,M4_actual_nonzero_frames,M4_Z_count,M4_E_count,M4_O1_count,M4_O2_count,M4_psnr,M4_ms_ssim,M4_lpips,M4_psnr_minus_ZERO,M4_ms_ssim_minus_ZERO,M4_lpips_minus_ZERO,M4_minus_M2_enhancement_bytes,M4_minus_M2_total_bytes,M4_minus_M2_actual_nonzero_frames,M4_minus_M2_psnr,M4_minus_M2_ms_ssim,M4_minus_M2_lpips,M4_minus_M2_psnr_minus_ZERO,M4_minus_M2_ms_ssim_minus_ZERO,M4_minus_M2_lpips_minus_ZERO
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.5,P,"same budget upper bound, not same actual rate",11620.0,4766.0,16386.0,5810.0,True,3.0,3.0,12.0,3.0,0.0,0.0,18.44669483210322,0.791386944165566,0.3661740799744924,0.11680656442778314,0.0066061678552549186,-0.012406426668167103,11620.0,5807.0,17427.0,5810.0,True,10.0,10.0,5.0,0.0,1.0,9.0,18.488094732450808,0.7912605831497251,0.37355830272038776,0.1582064647753718,0.006479806839414071,-0.005022203922271762,1041.0,1041.0,7.0,0.04139990034758867,-0.0001263610158408479,0.007384222745895341,0.04139990034758867,-0.0001263610158408479,0.007384222745895341
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.5,IP,"same budget upper bound, not same actual rate",11620.0,4766.0,16386.0,5810.0,True,3.0,3.0,12.0,3.0,0.0,0.0,18.258332442244377,0.7844798366418698,0.3603243213146925,0.10950615415104537,0.0061932823643015,-0.01163102500140667,11620.0,5807.0,17427.0,5810.0,True,10.0,10.0,5.0,0.0,1.0,9.0,18.297144848820242,0.784361373189519,0.3672470301389694,0.14831856072690996,0.006074818911950719,-0.0047083161771297455,1041.0,1041.0,7.0,0.0388124065758646,-0.00011846345235078104,0.006922708824276924,0.0388124065758646,-0.00011846345235078104,0.006922708824276924
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.1,P,"same budget upper bound, not same actual rate",9501.0,849.0,10350.0,950.0,True,1.0,1.0,14.0,1.0,0.0,0.0,33.46641399774071,0.9678088375733346,0.06915695915619532,0.06882307394847942,2.6283636511470476e-05,-0.0005757714311281775,9501.0,849.0,10350.0,950.0,True,1.0,1.0,14.0,1.0,0.0,0.0,33.46641399774071,0.9678088375733346,0.06915695915619532,0.06882307394847942,2.6283636511470476e-05,-0.0005757714311281775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.1,IP,"same budget upper bound, not same actual rate",9501.0,849.0,10350.0,950.0,True,1.0,1.0,14.0,1.0,0.0,0.0,33.246866950426615,0.966019463237825,0.0707979123108089,0.06452163182670034,2.4640909229489694e-05,-0.0005397857166826725,9501.0,849.0,10350.0,950.0,True,1.0,1.0,14.0,1.0,0.0,0.0,33.246866950426615,0.966019463237825,0.0707979123108089,0.06452163182670034,2.4640909229489694e-05,-0.0005397857166826725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.25,P,"same budget upper bound, not same actual rate",9501.0,2316.0,11817.0,2375.0,True,3.0,3.0,12.0,3.0,0.0,0.0,33.57816331125517,0.9679826677838074,0.0681173120935758,0.1805723874629379,0.00020011384698426227,-0.0016154184937477029,9501.0,2316.0,11817.0,2375.0,True,3.0,3.0,12.0,3.0,0.0,0.0,33.57816331125517,0.9679826677838074,0.0681173120935758,0.1805723874629379,0.00020011384698426227,-0.0016154184937477029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.25,IP,"same budget upper bound, not same actual rate",9501.0,2316.0,11817.0,2375.0,True,3.0,3.0,12.0,3.0,0.0,0.0,33.35163193184642,0.9661824290601432,0.06982324318960309,0.16928661324650562,0.00018760673154771812,-0.0015144548378884792,9501.0,2316.0,11817.0,2375.0,True,3.0,3.0,12.0,3.0,0.0,0.0,33.35163193184642,0.9661824290601432,0.06982324318960309,0.16928661324650562,0.00018760673154771812,-0.0015144548378884792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.5,P,"same budget upper bound, not same actual rate",9501.0,4420.0,13921.0,4750.0,True,6.0,6.0,9.0,6.0,0.0,0.0,33.73051661126296,0.9680982454692033,0.06685918122529984,0.33292568747073403,0.0003156915323802023,-0.002873549362023664,9501.0,4420.0,13921.0,4750.0,True,6.0,6.0,9.0,6.0,0.0,0.0,33.73051661126296,0.9680982454692033,0.06685918122529984,0.33292568747073403,0.0003156915323802023,-0.002873549362023664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,0.5,IP,"same budget upper bound, not same actual rate",9501.0,4420.0,13921.0,4750.0,True,6.0,6.0,9.0,6.0,0.0,0.0,33.49446315060373,0.9662907831402019,0.06864374550059438,0.31211783200381404,0.00029596081160643273,-0.002693952526897192,9501.0,4420.0,13921.0,4750.0,True,6.0,6.0,9.0,6.0,0.0,0.0,33.49446315060373,0.9662907831402019,0.06864374550059438,0.31211783200381404,0.00029596081160643273,-0.002693952526897192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.1,P,"same budget upper bound, not same actual rate",10243.0,0.0,10243.0,1024.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.191412624694728,0.47722814281170406,0.5721337119738261,0.0,0.0,0.0,10243.0,0.0,10243.0,1024.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.191412624694728,0.47722814281170406,0.5721337119738261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Val6,2996c286-14c5-4157-95ba-f2a73fae0187,0.1,IP,"same budget upper bound, not same actual rate",10243.0,0.0,10243.0,1024.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.07609181521855,0.4717401203326212,0.5624324791133404,0.0,0.0,0.0,10243.0,0.0,10243.0,1024.0,False,0.0,0.0,15.0,0.0,0.0,0.0,18.07609181521855,0.4717401203326212,0.5624324791133404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
