candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent
v3_beta_low,original,fresh_ulong_104,DISTS,1,139.90125,0.10033024847507477,1,130.92375,0.09796843212097883,6.417026295333306
v3_beta_low,original,fresh_ulong_104,LPIPS,2,182.56875,0.113422283786349,2,166.99875,0.11080573627259582,8.528294135770764
v3_beta_low,original,fresh_ulong_104,DISTS,2,182.56875,0.09147221129387617,3,215.6925,0.08588506188243628,-18.143165245968994
v3_beta_low,original,fresh_ulong_104,LPIPS,3,239.70375,0.10218862083274871,3,215.6925,0.0998431701445952,10.017052298931507
v3_beta_low,original,fresh_ulong_104,DISTS,3,239.70375,0.08630355633795261,3,215.6925,0.08588506188243628,10.017052298931507
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,0,163.27875,0.15872842667158693,0,175.005,0.15482585248537362,-7.181736753864176
v3_beta_low,beta_low,fresh_ulong_00,DISTS,0,163.27875,0.09163769986480474,0,175.005,0.08368497714400291,-7.181736753864176
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,1,205.65375,0.14141389937140048,1,214.98375,0.1410023522330448,-4.536751700370156
v3_beta_low,beta_low,fresh_ulong_00,DISTS,1,205.65375,0.08623160980641842,0,175.005,0.08368497714400291,14.903083459455523
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,2,266.145,0.1223095862660557,2,282.82125,0.12047836219426244,-6.265851321647986
v3_beta_low,beta_low,fresh_ulong_00,DISTS,2,266.145,0.07596672512590885,2,282.82125,0.06677039247006178,-6.265851321647986
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,3,332.1075,0.1087576214922592,3,351.37125,0.10805164836347103,-5.800456177593083
v3_beta_low,beta_low,fresh_ulong_00,DISTS,3,332.1075,0.06920010503381491,2,282.82125,0.06677039247006178,14.840450757661294
