candidate,reference,video_tag,metric,reference_qp,reference_kbps,reference_metric,candidate_qp,candidate_kbps,candidate_metric,metric_difference,rate_saving_percent
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,0,163.27875,0.15872842667158693,0,175.005,0.15482585248537362,-0.0039025741862133145,-7.181736753864176
v3_beta_low,beta_low,fresh_ulong_00,DISTS,0,163.27875,0.09163769986480474,0,175.005,0.08368497714400291,-0.00795272272080183,-7.181736753864176
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,1,205.65375,0.14141389937140048,1,214.98375,0.1410023522330448,-0.00041154713835567236,-4.536751700370156
v3_beta_low,beta_low,fresh_ulong_00,DISTS,1,205.65375,0.08623160980641842,0,175.005,0.08368497714400291,-0.0025466326624155045,14.903083459455523
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,2,266.145,0.1223095862660557,2,282.82125,0.12047836219426244,-0.0018312240717932582,-6.265851321647986
v3_beta_low,beta_low,fresh_ulong_00,DISTS,2,266.145,0.07596672512590885,1,214.98375,0.07923376932740211,0.0032670442014932632,19.223073888293975
v3_beta_low,beta_low,fresh_ulong_00,LPIPS,3,332.1075,0.1087576214922592,3,351.37125,0.10805164836347103,-0.0007059731287881732,-5.800456177593083
v3_beta_low,beta_low,fresh_ulong_00,DISTS,3,332.1075,0.06920010503381491,2,282.82125,0.06677039247006178,-0.002429712563753128,14.840450757661294
v3_beta_low,beta_low,fresh_ulong_01,LPIPS,0,146.2237762237762,0.14251601230353117,0,148.6476023976024,0.1419656059006229,-0.0005504064029082656,-1.6576142652183101
v3_beta_low,beta_low,fresh_ulong_01,DISTS,0,146.2237762237762,0.09376867860555649,0,148.6476023976024,0.0887825321406126,-0.004986146464943886,-1.6576142652183101
v3_beta_low,beta_low,fresh_ulong_01,LPIPS,1,183.48026973026973,0.12438105780165642,1,187.40634365634364,0.12160463456530124,-0.0027764232363551855,-2.139779896686189
v3_beta_low,beta_low,fresh_ulong_01,DISTS,1,183.48026973026973,0.08579319808632135,0,148.6476023976024,0.0887825321406126,0.0029893340542912483,18.98442125895827
v3_beta_low,beta_low,fresh_ulong_01,LPIPS,2,219.35814185814183,0.11120030120946467,2,224.16833166833166,0.10965604288503528,-0.0015442583244293928,-2.1928476278307185
v3_beta_low,beta_low,fresh_ulong_01,DISTS,2,219.35814185814183,0.07893601711839437,1,187.40634365634364,0.07721965294331312,-0.001716364175081253,14.566041602623214
v3_beta_low,beta_low,fresh_ulong_01,LPIPS,3,271.6783216783217,0.09866603300906718,3,279.5866633366633,0.09585526760201901,-0.002810765407048166,-2.9109211252068112
v3_beta_low,beta_low,fresh_ulong_01,DISTS,3,271.6783216783217,0.07554319780319929,1,187.40634365634364,0.07721965294331312,0.0016764551401138306,31.019029233314967
v3_beta_low,beta_low,fresh_ulong_10,LPIPS,0,94.73901098901099,0.08741293218918145,0,100.84915084915085,0.08550745411776006,-0.0019054780714213848,-6.449444422476169
v3_beta_low,beta_low,fresh_ulong_10,DISTS,0,94.73901098901099,0.09128887765109539,0,100.84915084915085,0.08486776053905487,-0.00642111711204052,-6.449444422476169
v3_beta_low,beta_low,fresh_ulong_10,LPIPS,1,119.80144855144854,0.07778610300738364,1,129.10714285714286,0.07688576146028936,-0.0009003415470942855,-7.767597485850097
v3_beta_low,beta_low,fresh_ulong_10,DISTS,1,119.80144855144854,0.08369950205087662,0,100.84915084915085,0.08486776053905487,0.0011682584881782532,15.819756715344447
v3_beta_low,beta_low,fresh_ulong_10,LPIPS,2,151.58466533466535,0.07014764891937375,2,163.0631868131868,0.0694654209073633,-0.0006822280120104551,-7.572350048192167
v3_beta_low,beta_low,fresh_ulong_10,DISTS,2,151.58466533466535,0.07684867084026337,1,129.10714285714286,0.0775830140337348,0.0007343431934714317,14.828361713170057
v3_beta_low,beta_low,fresh_ulong_10,LPIPS,3,190.52322677322678,0.06433214264689013,3,211.09015984015986,0.06362550013000146,-0.0007066425168886781,-10.794974143185797
v3_beta_low,beta_low,fresh_ulong_10,DISTS,3,190.52322677322678,0.07219147309660912,2,163.0631868131868,0.07114601507782936,-0.0010454580187797546,14.412961834162463
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,0,73.7625,0.2573277484625578,0,77.29125,0.26146513083949685,0.004137382376939058,-4.783934926283684
v3_beta_low,beta_low,fresh_ulong_100,DISTS,0,73.7625,0.18393398448824883,0,77.29125,0.15237974748015404,-0.03155423700809479,-4.783934926283684
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,1,97.08375,0.23517868178896606,1,102.01125,0.23583866865374148,0.0006599868647754192,-5.075514697361827
v3_beta_low,beta_low,fresh_ulong_100,DISTS,1,97.08375,0.16708288341760635,0,77.29125,0.15237974748015404,-0.014703135937452316,20.387036965506578
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,2,125.235,0.21910962066613138,2,134.1825,0.22112212725915015,0.0020125065930187702,-7.144568211761881
v3_beta_low,beta_low,fresh_ulong_100,DISTS,2,125.235,0.14763030409812927,0,77.29125,0.15237974748015404,0.004749443382024765,38.28302790753383
v3_beta_low,beta_low,fresh_ulong_100,LPIPS,3,163.56375,0.20395963732153177,3,176.5275,0.2053173405583948,0.001357703236863017,-7.925808744296958
v3_beta_low,beta_low,fresh_ulong_100,DISTS,3,163.56375,0.1403906336054206,1,102.01125,0.13557828404009342,-0.0048123495653271675,37.63211591810533
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,0,105.28875,0.12546950369141996,0,114.765,0.12375683442223817,-0.001712669269181788,-9.000249314385457
v3_beta_low,beta_low,fresh_ulong_101,DISTS,0,105.28875,0.13318665511906147,0,114.765,0.12036233860999346,-0.012824316509068012,-9.000249314385457
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,1,150.24375,0.11357707297429442,1,160.88625,0.11200100427959114,-0.001576068694703281,-7.083489329838999
v3_beta_low,beta_low,fresh_ulong_101,DISTS,1,150.24375,0.12262323405593634,0,114.765,0.12036233860999346,-0.0022608954459428787,23.614127043554223
v3_beta_low,beta_low,fresh_ulong_101,LPIPS,2,212.21625,0.10194158449303359,2,227.27625,0.09935128246434033,-0.0025903020286932588,-7.096534784683084
v3_beta_low,beta_low,fresh_ulong_101,DISTS,2,212.21625,0.11337796784937382,1,160.88625,0.11058843228965998,-0.0027895355597138405,24.187591666519413
