method,split,video,scope,frames,lambda,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,enhancement_fraction,duration_seconds,diagnostic,zero_no_stream_fallback,nonzero_enhancement_frame_fraction_P,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,0.011790604283044334,92960.0,82480.0,174.3001089375681,154.65009665631044,328.95020559387854,0.005287905092592592,0.887263339070568,0.533333,False,False,1.0,18.589365918875064,0.7957159505258936,0.36859468221664426,0.014210324038350097,0.2594776511996268,0.010935174215582655,-0.009985824426015219,-0.2983906867155691,-0.021872088339181757,0.053380876779556274,-0.273295411029739,-0.020657267920691596,0.052494533856709796,2.481939833776655,0.02497882046271393,0.14075843691825868
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,0.011790604283044334,92960.0,82480.0,174.3001089375681,154.65009665631044,328.95020559387854,0.005287905092592592,0.887263339070568,0.533333,False,False,1.0,18.392086586092983,0.7885382801046771,0.3625936359167099,0.015128132594122164,0.2432602979996501,0.010251725827108739,-0.009361710399389267,-0.27974126879584604,-0.020505082817982898,0.05004457198083401,-0.2562144478403803,-0.01936618867564837,0.049213625490665436,2.326818594165614,0.023417644183794308,0.1319610346108675
B_Train2_lambda1,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,P,15.0,0.011790604283044334,104784.0,87112.0,196.2736037252724,163.17172629137968,359.4453300166521,0.005783902391975309,0.8313482974499924,0.533867,False,False,1.0,30.279456605088868,0.9121469223078517,0.13709102769692738,0.0010752596641696865,0.7052347734976908,0.01038834053356504,-0.03847142457962036,0.01872443979449443,-0.0016299944254461352,0.00459795594215393,0.08915607702840139,-0.0006031548226357615,0.0029849002758661905,2.5913868849260475,0.016577831329052804,-0.009420826037724813
B_Train2_lambda1,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16.0,0.011790604283044334,104784.0,87112.0,196.2736037252724,163.17172629137968,359.4453300166521,0.005783902391975309,0.8313482974499924,0.533867,False,False,1.0,30.03472439332635,0.9060777705014518,0.1427292311564088,0.0011666419482545174,0.6611576001540851,0.009739069250217225,-0.03606696054339409,0.017554162307338528,-0.0015281197738557517,0.00431058369576931,0.0835838222141263,-0.0005654576462210265,0.0027983440086245537,2.4294252046181697,0.015541716870987002,-0.008832024410367012
B_Train2_lambda1_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,0.011790604283044334,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,18.284242845251377,0.7931023179212442,0.33147556384404503,0.015180916089594303,-0.04564542242405878,0.008321541610933288,-0.047104942798614505,-0.6035137603392546,-0.024485720943831123,0.01626175840695699,-0.5784184846534245,-0.023270900525340962,0.015375415484110514,2.176816760152969,0.022365187858064562,0.10363931854565939
B_Train2_lambda1_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,0.011790604283044334,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,18.106033704570777,0.7860879995378182,0.32779446244239807,0.01603806264216361,-0.042792583522555105,0.007801445260249958,-0.044160883873701096,-0.5657941503180512,-0.02295536338484168,0.015245398506522179,-0.5422673293625855,-0.02181646924250715,0.014414452016353607,2.0407657126434087,0.020967363616935526,0.09716186113655567
B_Train2_lambda1_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,P,15.0,0.011790604283044334,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,29.33218657240288,0.8993548567928286,0.17447768648465475,0.0013415924137008734,-0.2420352591882981,-0.002403724981458096,-0.0010847657918930053,-0.9285455928914944,-0.014422059940469271,0.041984614729881284,-0.8581139556575875,-0.013395220337658897,0.04037155906359355,1.6441168522400587,0.003785765814029666,0.027965832750002542
B_Train2_lambda1_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16.0,0.011790604283044334,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,29.146658737683236,0.8940852090811175,0.17777922376990318,0.001416328900940005,-0.22690805548902948,-0.002253492170116965,-0.0010169679298996925,-0.870511493335776,-0.013520681194189942,0.039360576309263706,-0.8044818334289883,-0.012558019066555216,0.03784833662211895,1.541359548975055,0.003549155450652812,0.026217968203127384
B_Train2_lambda1_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,0.011790604283044334,92960.0,,174.3001089375681,,,,,0.533333,True,False,0.0,18.329888267675436,0.7847807763103111,0.3785805066426595,0.015072418892998013,0.0,0.0,0.0,-0.5578683379151959,-0.03280726255476441,0.06336670120557149,-0.5327730622293657,-0.03159244213627425,0.06248035828272502,2.222462182577028,0.014043646247131274,0.15074426134427388
B_Train2_lambda1_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,0.011790604283044334,92960.0,,174.3001089375681,,,,,0.533333,True,False,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.015936346520354586,0.0,0.0,0.0,-0.5230015667954961,-0.030756808645091636,0.059406282380223274,-0.4994747458400304,-0.02961791450275711,0.0585753358900547,2.0835582961659638,0.013165918356685569,0.14132274501025677
