dataset,video,qp,branch,actual_bytes,actual_bits,PSNR,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta
uvg,Bosphorus,1,compression_aware,635419,5083352,26.232847771441097,0.3086516703478992,0.2538205310702324,False,False,False,20,0,0.0
uvg,Bosphorus,1,compression_aware,101374,810992,28.09650207402184,0.22760144085623324,0.16957686748355627,False,False,False,20,0,0.1
uvg,Bosphorus,1,compression_aware,50925,407400,28.8156613110244,0.22435499681159854,0.16626082174479961,False,False,False,20,0,0.3
uvg,Bosphorus,1,compression_aware,41096,328768,29.222320195896433,0.23717647814191878,0.1707195769995451,False,False,False,20,0,1.0
uvg,Bosphorus,1,compression_aware,41849,334792,29.518352579313998,0.23604499292559922,0.1706270184367895,False,False,False,20,0,10.0
uvg,Bosphorus,1,generator_aware,30994,247952,30.87728239422079,0.15879749436862767,0.13753508869558573,False,True,True,0,0,baseline_init
uvg,Bosphorus,1,generator_aware,495203,3961624,32.136504900271895,0.15604258968960494,0.1547719957306981,False,False,False,20,0,0.0
uvg,Bosphorus,1,generator_aware,159802,1278416,33.50227640828534,0.1406516240676865,0.13713538274168968,False,False,False,20,0,0.1
uvg,Bosphorus,1,generator_aware,88262,706096,33.82869510598768,0.14276350801810622,0.13590506371110678,False,False,False,20,0,0.3
uvg,Bosphorus,1,generator_aware,59067,472536,33.087151773484074,0.15844831964932382,0.14013642817735672,False,False,False,20,0,1.0
uvg,Bosphorus,1,generator_aware,46083,368664,31.12920682276335,0.20440376712940633,0.1606680229306221,False,False,False,20,0,10.0
uvg,Bosphorus,3,baseline,51949,415592,31.472206806681417,0.12848799442872405,0.1171071631833911,True,True,True,0,0,
uvg,Bosphorus,3,compression_aware,51949,415592,31.472206806681417,0.12848799442872405,0.1171071631833911,False,True,True,0,0,baseline_init
uvg,Bosphorus,3,compression_aware,813757,6510056,27.96032362711114,0.22678064717911184,0.1901786122471094,False,False,False,20,0,0.0
uvg,Bosphorus,3,compression_aware,147281,1178248,29.086125438819515,0.18230391177348793,0.14012013655155897,False,False,False,20,0,0.1
uvg,Bosphorus,3,compression_aware,75249,601992,29.640114515123503,0.17840915825217962,0.13856042362749577,False,False,False,20,0,0.3
uvg,Bosphorus,3,compression_aware,56252,450016,30.136021998989147,0.18571830191649497,0.14400938246399164,False,False,False,20,0,1.0
