scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path,selection
cell,uvg,Beauty,0,3,compression_aware,0,10.0,20,,,40662,325296,0.9833853297540448,3.532673714652894,26.67443597124155,0.9702715184539557,0.16635020659305155,0.16258397977799177,,e50d5aeb83dac62452e0487b724af06ef34e4e774062307a7ee0b81924512034,PASS,PASS,,,,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_compression_aware_beta10.bin,branch_objective
cell,uvg,Beauty,0,3,compression_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_PSNR
cell,uvg,Beauty,0,3,compression_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_LPIPS
cell,uvg,Beauty,0,3,compression_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,False,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_DISTS
cell,uvg,Beauty,0,3,generator_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,branch_objective
cell,uvg,Beauty,0,3,generator_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_PSNR
cell,uvg,Beauty,0,3,generator_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_LPIPS
cell,uvg,Beauty,0,3,generator_aware,0,baseline_init,0,,,41349,330792,1.0,,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_00_qp3_baseline.bin,best_DISTS
cell,uvg,Bosphorus,1,1,compression_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,branch_objective
cell,uvg,Bosphorus,1,1,compression_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_PSNR
cell,uvg,Bosphorus,1,1,compression_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_LPIPS
cell,uvg,Bosphorus,1,1,compression_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_DISTS
cell,uvg,Bosphorus,1,1,generator_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,branch_objective
cell,uvg,Bosphorus,1,1,generator_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_PSNR
cell,uvg,Bosphorus,1,1,generator_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_LPIPS
cell,uvg,Bosphorus,1,1,generator_aware,0,baseline_init,0,,,30994,247952,1.0,,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/uvg_01_qp1_baseline.bin,best_DISTS
