scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,56,17651.45703125,2213,17704,2.3664683537717033,0.0022959187626838684,26.390434827994525,0.9885686039924622,0.1198989748954773,0.12698894739151,29866684e977d3dedfc5d851875e365c46d18501967f448dcf1180f53090030c,3b9421864b983352131be7f34d13576e7bb66e35df84b5a06c3d01156522a81d,PASS,PASS,3185,3190.0,57.262718200683594,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,56,22308.044921875,2753,22024,2.3664683537717033,0.0020774530712515116,26.824687779538188,0.9895913004875183,0.12213566154241562,0.12893497943878174,875e6c5ac7b6ac9d7c33db8dea9a28262908e377d98482284dc0207bfb9a6189,db8dba653741d504087a6311927598758968f2cdae10e9c11e28a702398af04b,PASS,PASS,4012,4017.0,103.32804870605469,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,57,15108.388671875,1898,15184,2.3664683537717033,0.0021119490265846252,26.75316568022776,0.9894838929176331,0.10464164614677429,0.10994786024093628,8f1be666333d8a96e67b82803495b05831073d83b3b064266931a03584da7c79,2dde8c54cfd34896382da67c16967e012229c8fbb1d0f3d07a604b72d1e5b7da,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,57,18042.53515625,2242,17936,2.3664683537717033,0.0018105587223544717,27.421873850248556,0.9908979535102844,0.10680968314409256,0.11471080780029297,0047a7283da3e57d9d0c9541b60c8b89228f64ea686d9b333814919cfe9f0a68,90335fa8c4ede1bba1c43deee1af8ef5507d82559ab3df561af3b6d36f010686,PASS,PASS,3624,3631.0,60.75932312011719,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,57,24000.23828125,2878,23024,2.3664683537717033,0.0017229970544576645,27.63715464997634,0.991313636302948,0.10974603146314621,0.11549258232116699,42bafc3ec1c0d6489f5323a32f9cf230e0d61131c1bea4cf2a28d107752b3ee6,c24f5666886e5fe657119668b304c63649e2356df7ec9f1347cc9b1f77ad3e81,PASS,PASS,4801,4807.0,111.0919418334961,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,58,1045.68994140625,138,1104,2.3664683537717033,0.002014740603044629,26.957808611447813,0.9900967478752136,0.1180039495229721,0.1237332820892334,6f4c5a106d39bfcf63a07ad17705d9fe7a13ccc8d40b4e13e3a234c093ebf15a,de30ecfaae1fdaa2d7f33f225b103a0ae7a177ddfd2df95b6ccbc3c3e58b176d,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,58,2672.58056640625,342,2736,2.3664683537717033,0.0020975847728550434,26.782804783470844,0.9896010756492615,0.11898448318243027,0.12437760829925537,ec2893f24697edac3fe21fcf072676c2c77640b01281045edda26585adf42016,c93cf163385640b9b5d8f13c7ebe77b891b948043236fbaa318081370323214f,PASS,PASS,450,451.0,36.41755676269531,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,58,1713.067138671875,220,1760,2.3664683537717033,0.0020879909861832857,26.802713805066098,0.9896295666694641,0.11930489540100098,0.12209397554397583,4e7567d86e9212345b677b19320d503426f8c3a91f4e9614c7ab1d0e193fcadb,57d65df277ba5bfb5ec0080171df1cf3e0ea370bb810fe126ffe35b7d970ea2b,PASS,PASS,327,329.0,60.13837432861328,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,59,1396.171142578125,182,1456,2.3664683537717033,0.002228479366749525,26.51991382645029,0.9889316558837891,0.11595290899276733,0.11890780925750732,5ba3418ae388d8625e315a78d0594aed2c031cb07a03e23224729248a1c46605,a315ce306711aa7e454cdc1cd66763ab15a71ca14424274a5e998162e613f773,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,59,3424.7060546875,438,3504,2.3664683537717033,0.0024371782783418894,26.13112701234543,0.987770140171051,0.1214909479022026,0.12321573495864868,6d4319033e3358cb62712f9ff73f10adc301605a636a2e33f0087c7a68d8f37e,1d51c751a755f50bbc3f88c4d832f20c69483cf1c26c2333241ae4875fa9a868,PASS,PASS,619,624.0,37.37540054321289,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,59,3790.020263671875,480,3840,2.3664683537717033,0.0024458731058984995,26.11566078304478,0.9877269268035889,0.12066294252872467,0.12062668800354004,9c2e239daaed99509809a2ad6fde231c19ed080888180fb7d4cc852819aa2f00,b1e6ad7c07357d489f7f32e9d66950f413b5e971c85c7874324bf4d4305e7525,PASS,PASS,697,701.0,63.18357467651367,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,60,12801.439453125,1609,12872,2.3664683537717033,0.0026277333963662386,25.80418699371165,0.9871252179145813,0.11518368870019913,0.11822587251663208,13d66bb2c9b716442b97b2cdb1688ab9915a58bed235ea9e9ffedce43f8203bf,1dc117c883000aad0d34029505a043e0fbbb759a616c2653567e9a3d71c5a07a,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,60,17761.248046875,2230,17840,2.3664683537717033,0.002209773985669017,26.556521434172936,0.9890452027320862,0.11827914416790009,0.12474405765533447,84c70e7457c2c69e1344465647e5af7c7981e36bf81f006e03ab9c7f86dc20ad,f200b6a00c8d4e620bcbc65c0306dc7a81e68d45681ccb7986ec6da31c22fb12,PASS,PASS,3294,3298.0,58.173316955566406,False,,,,
