dataset,video,qp,branch,beta,bitstream,bitstream_sha256,bytes,symbol_equal,decoded_latent_max_abs_diff,reconstruction_max_abs_diff,decode_status
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_generator_aware_beta0.1.bin,812e0f82849d835cf65c10263b2da9af0c2ff138ba53bccfc74e32ca796e4340,307880,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_generator_aware_beta0.3.bin,2d0ade86e417f31317a954fcbc9e366bc060822fda0f80806293e8c2eea94c26,199084,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_generator_aware_beta1.bin,589e286e298acf224f86f4f96b3b64635b76edaf2b5559266386c25f14b0272b,131586,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,generator_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_generator_aware_beta10.bin,ca967b3c326ece5ab87cedc9a4cc516767754e550cd3f9e00875bf5b4eabad7b,97324,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_compression_aware_beta0.bin,e68cde7c149ab03a61fb10c7a6d2df263a9ee337d1555541dde7798d036f57c2,635770,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_compression_aware_beta0.1.bin,ad04268b043b0a000f3b7719aae0b3b6e81d872041da47ddb850058f097498e4,83840,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_compression_aware_beta0.3.bin,f1eb0a2b907ebadb5d5859851266972622460c34e4795747d6dbcf18efcf560c,50337,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_compression_aware_beta1.bin,60203a1ae19e7a62a7d82830e62e33c61ac72bd8f694786c07c32bc23a2b2736,41278,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,compression_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_compression_aware_beta10.bin,7541ecf690b5a42fe5ed852b367cee559e059d7fc221709eb9677393bdf8345c,43850,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_generator_aware_beta0.bin,034a2101840c662ce9a17b41052a3acec2e7eeaaa88075a446b9401c5f8a1dc0,481979,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_generator_aware_beta0.1.bin,d9a9e8e109a7d6a4687c156564f219fd5e8f60f7c1f64cd1db5b79bed927adae,134260,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_generator_aware_beta0.3.bin,4e60daf2f78c32a5a52303951ac58996775bdebdfb0120837a6e6afb3428832c,83739,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_generator_aware_beta1.bin,ed2363b8ad8b1a808bee9bfa542c19902dd49135cb7e940953eb56fb2f90c7f8,57288,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,1,generator_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp1_generator_aware_beta10.bin,375152dbfc9c3c19a066aca1d68c696abe78e3c456be44273d298ca0268edfa0,46506,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta0.bin,8d6c6c226a1ef829a4b3de2092a665cdc6049db27fd3af47112a383bad243957,630494,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta0.1.bin,e6cc4041ed4bc4a02104b2e6ae3330f48dbddcec1308aafe00caee5969deb123,109778,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta0.3.bin,e689bd61d9f905cc0551274e520cefe47d149aa597c38576f4dbd5be4647b38a,70227,True,0.0,0.0,PASS
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,3,compression_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_10_qp3_compression_aware_beta1.bin,20227609ddbe32dcc84db402f33215019252af53ff71f9b9a7c4b74389d80414,56653,True,0.0,0.0,PASS
