method,video_tag,qp,path,sha256,bytes,status
original,fresh_ulong_102,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/original_qp0.bin,3445488afafea1ca1d941081a3292e054922957efcb58efcfc442fe0943ebbe2,19125,PASS
original,fresh_ulong_102,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/original_qp1.bin,6e4112aa07089352cbcbd9efc73ac5f90ab119c17ed3dd8355b0b320b9d15c5e,24822,PASS
original,fresh_ulong_102,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/original_qp2.bin,8832a78da4765145e2e7703e075262f07e0d9c370bd22e01f7ed68b690718a4b,32001,PASS
original,fresh_ulong_102,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/original_qp3.bin,340f0831deb1f00a60acd5cd03f45399eaea245842d921a71fcc0315853bae99,41443,PASS
beta_low,fresh_ulong_102,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/beta_low_qp0.bin,18621d2af077f09c014fc61900db65ca02bb23b4692ad5b4cefa9210c4bc7270,17881,PASS
beta_low,fresh_ulong_102,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/beta_low_qp1.bin,b938af7e3a9ba26c125d8b9b944415537ac75fdd65f0b7685625f2b37018d8e5,23373,PASS
beta_low,fresh_ulong_102,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/beta_low_qp2.bin,32e4f8881c9cd6d4214b662526c74ea1da950639cf7b4053edbef87752d49182,29606,PASS
beta_low,fresh_ulong_102,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_102/beta_low_qp3.bin,cb64e2597a94eb22c4308d17aea0b1fb19d8799d2dba4e7f839b0e7db2bbe904,38282,PASS
v3_beta_low,fresh_ulong_102,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_102/v3_beta_low_qp0.bin,fcdd883a718a6c04a75a0627533a8768b55296caa74bae766d6609b907e6431a,18756,PASS
v3_beta_low,fresh_ulong_102,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_102/v3_beta_low_qp1.bin,e526cfd7a148b6df7737fb6653c7abdaf61167ef43ac8183ba99aa87e2f3c653,24412,PASS
v3_beta_low,fresh_ulong_102,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_102/v3_beta_low_qp2.bin,a76c720052bb34da11952cc086d99e7614afb346b2d67172ba03299344b59e58,31163,PASS
v3_beta_low,fresh_ulong_102,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_102/v3_beta_low_qp3.bin,f27b4eae811cab5247ff44c182b9b5ad085ec794e6f48137d8b52aca5098f78b,40336,PASS
original,fresh_ulong_103,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/original_qp0.bin,a42518dc6f5b85aa8c7a9b12211eacc84199fbf34637bf9d65a9eebc70cb3907,44761,PASS
original,fresh_ulong_103,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/original_qp1.bin,f2dda9a30bd33fd3707c6a36e644700a80e4d5e862987337ba334e0ebf0efefa,55939,PASS
original,fresh_ulong_103,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/original_qp2.bin,8e304fe5cc7dede9600a28794be656834d5d0e750cfcd499bad107dd8a2adae0,71442,PASS
original,fresh_ulong_103,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/original_qp3.bin,b95f623e667d63a2ec815f66e2cd52c56300f28f51c4a9408254acd8a54632ff,90080,PASS
beta_low,fresh_ulong_103,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/beta_low_qp0.bin,b4c778396b6d5ab9b12dd4724acdbb42f3b6ab1c9aec6df7ba81f8567b833356,40849,PASS
beta_low,fresh_ulong_103,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/beta_low_qp1.bin,083206af6372acc02bc1177de3af7f4b60ccc3a45c45969b2e3f2145d004d270,50989,PASS
beta_low,fresh_ulong_103,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/beta_low_qp2.bin,98227a6f4ced7473cd7eec2066eddb3eef98fb51a2cc736f4059ae80a94dc3d4,64178,PASS
beta_low,fresh_ulong_103,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_103/beta_low_qp3.bin,71a3ca73969ff4f7c8aca48156c4be42367f15d5a2becaafdfad6b42b4c1e0b5,80540,PASS
v3_beta_low,fresh_ulong_103,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_103/v3_beta_low_qp0.bin,bb9a6b982d50e3f4e497178949567def5b9003f08cb187421d60f1d31ec2645a,42329,PASS
