dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_1p0.bin,19412,19412,c54a2beace88a9b682eed7c286c47d349f44f6137bd35c34c49701bf98953fa3,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,1.5,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_1p5.bin,20095,20095,5606da3eadff41bc81881ffc71913458b0bd63154a5e980c846f92a0c6301a3b,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,2.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_2p0.bin,20436,20436,4bbf251f4b66c06e8410cee59877da92f20665909f6e5149d94730eb2cf3898b,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_3p0.bin,20588,20588,dbed4eff727abf68b483638d9876b9021ec176a163ddaf4e91eb228ae0e7f154,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,4.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_4p0.bin,20128,20128,7ebcd3689810713daccd5c82eedf30c3bd1bffcb7b657c79d7519171974a2cd8,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,6.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_6p0.bin,18942,18942,1f7149d1fda0dd7b60ff349ad826c4a2d3e1a3f0d7ace2a2e1a3a81775e06521,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,8.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_8p0.bin,17858,17858,b0b699070abd31cc2040ce9535bec8c17e654359568a92bda83b80ce649e21c8,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,3000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_3000p0.bin,13638,13638,a08a8953a70ce7c41cf54204d44a01a96d844b943127269f7b936da068223f84,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,10000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_10000p0.bin,13833,13833,e5b0bd111334cfdc45c4850ca0b795b69d26e92f672371fcf4fdc6793ffc4ddc,True,NOT_SELECTED
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,baseline,original,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_baseline_original.bin,13042,13042,53961306662cce04571f832e8404f090f7bea21af38d18b1f2beab47c1224340,True,PASS
