codec,dataset,video,video_id,rate_control,num_frames,fps,bitstream_path,bitstream_bytes,actual_bits,bpp,kbps,bitstream_sha256,decode_status
DCVC-RT,uvg,Beauty,0,I40_P40,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q40.bin,46698,373584,0.0028150318287037037,700.47,25a30f29b9db26980f55abfe0acd859ce75b3432924ee7cf0ad51677622b24c2,PASS
DCVC-RT,uvg,Beauty,0,I8_P8,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_00_q8.bin,9019,72152,0.0005436800733024692,135.285,f59e81bb1456379c086fd687ee958f3b5d29978b4fa8e3a60d6d9c394b8f0846,PASS
GVC-RT,uvg,Beauty,0,QP1,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp1.bin,22057,176456,0.0013296320408950617,330.855,13fdd9c6a840f891261e981d633e82ee5be3bda83988b3baa2f497cbe4e36e7d,PASS
GVC-RT,uvg,Beauty,0,QP3,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_00_qp3.bin,41349,330792,0.0024925853587962963,620.235,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,PASS
DCVC-RT,uvg,Bosphorus,1,I0_P0,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q0.bin,6619,52952,0.0003990041473765432,99.285,6b46a6b5fcfbb04e0625d747371695e8bbee2289df012dba010f13404e415bca,PASS
DCVC-RT,uvg,Bosphorus,1,I16_P16,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q16.bin,15710,125680,0.0009470244984567901,235.65,d326653028ff5f9fe442ddd9c999e569e8f3aa99b8505ba9e33f611da85ae92a,PASS
DCVC-RT,uvg,Bosphorus,1,I24_P24,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q24.bin,25084,200672,0.0015121045524691358,376.26,1be2caf3e41674328d6a56fd648c21aed98b051256a9ff5544b6423ceca406c3,PASS
DCVC-RT,uvg,Bosphorus,1,I27_P27,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q27.bin,29862,238896,0.0018001302083333333,447.93,144698a25a54b62f729bcb3f6473a37a40ac2996edfed4f74d8edd96c9897669,PASS
DCVC-RT,uvg,Bosphorus,1,I28_P28,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q28.bin,32016,256128,0.0019299768518518518,480.24,87e17fd12e28b17478adf3f692fb8bd9fb1a247a4ef2d80fe5c3ebed86de9b73,PASS
DCVC-RT,uvg,Bosphorus,1,I32_P32,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q32.bin,40807,326456,0.002459912712191358,612.105,5a7427a53eab5b22250c40afc2ac84a5b3b26a3ec4bd8ed5d7a906fc9d960d54,PASS
DCVC-RT,uvg,Bosphorus,1,I36_P36,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q36.bin,51533,412264,0.003106493537808642,772.995,1d18371d626071d9638ba3dac8031b27df7626572b8e14f05559552efb72d9c6,PASS
DCVC-RT,uvg,Bosphorus,1,I40_P40,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q40.bin,65742,525936,0.003963035300925926,986.13,e96845ffbebb337474c520b9569298acd65b1e4953594b6ab491bfa531108085,PASS
DCVC-RT,uvg,Bosphorus,1,I8_P8,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_q8.bin,10130,81040,0.0006106529706790124,151.95,06e7f091ae72f1f2582e6963d113103c92252b147f8f0be778ca6cb9a95e3047,PASS
DCVC-RT,uvg,Bosphorus,1,I27_P28,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_01_qi27_qp28.bin,31718,253744,0.001912012924382716,475.77,fbda867475cbf45d3a431172a0a6b15bad300d2aa0fe697887b31039824d04eb,PASS
GVC-RT,uvg,Bosphorus,1,QP1,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp1.bin,30994,247952,0.0018683690200617285,464.91,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,PASS
GVC-RT,uvg,Bosphorus,1,QP3,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_01_qp3.bin,51949,415592,0.003131570698302469,779.235,abf456d08544418d14ff29dd33ac972307f54eba31d515eaeefafb47097b271d,PASS
DCVC-RT,uvg,HoneyBee,2,I0_P0,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q0.bin,11004,88032,0.0006633391203703703,165.06,5c018e3c529c069272e5a2f509838a53b988940d8dce6a1e15568d262744456c,PASS
DCVC-RT,uvg,HoneyBee,2,I16_P16,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q16.bin,21441,171528,0.0012924985532407408,321.615,7dc804d252555f402c368ec9774efe5e12db32f6951596c8ba1ad4284ea8ceb1,PASS
DCVC-RT,uvg,HoneyBee,2,I23_P23,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q23.bin,28155,225240,0.0016972294560185185,422.325,fc7371109d03597878745a083525b8f55e1c375ae0d41771898930dfb3acf17b,PASS
DCVC-RT,uvg,HoneyBee,2,I24_P24,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q24.bin,29051,232408,0.0017512418016975308,435.765,1bc97c936f4850ab3340e4fdc3605dff2143a350f603d11b7ad310611cff86b6,PASS
DCVC-RT,uvg,HoneyBee,2,I32_P32,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q32.bin,40523,324184,0.0024427927276234568,607.845,0b22255d1e2aefe20b2a205340f9f09274d5d38d4ab2d43f563740fc3f913856,PASS
DCVC-RT,uvg,HoneyBee,2,I34_P34,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q34.bin,43990,351920,0.0026517891589506173,659.85,4351d0a304adeddfcb08cb7eec685f75f097ab3cb43dc9262f957c4d966d0961,PASS
DCVC-RT,uvg,HoneyBee,2,I8_P8,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/uvg_02_q8.bin,15518,124144,0.000935450424382716,232.77,850aa83695f1b79fc734b90e492464bef9837388d2c73a017cbf2ff8a52c123c,PASS
GVC-RT,uvg,HoneyBee,2,QP1,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp1.bin,28168,225344,0.0016980131172839505,422.52,4f07426c355d1e68738aa5c2d6781df595e4b7fc14c159d35f424fdb770ccde0,PASS
GVC-RT,uvg,HoneyBee,2,QP3,64,120.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/uvg_02_qp3.bin,44679,357432,0.0026933232060185187,670.185,6d4359ff358945a8171b91e5cf29771bfcf25598d6d9e4fb87da5347e1689dd5,PASS
