trajectory_id,parent_trajectory_id,frame,beam_rank,cumulative_estimated_bits,cumulative_actual_bytes,cumulative_RGB_MSE,number_2x_blocks_used,number_4x_blocks_used,bitstream_hash,decoded_w1_hash,DPB_state_hash,mode_history_hash,is_baseline_path
T133,T99,6,4,22986.8994140625,25473,0.036707763094455004,382,0,8959d4dcd78edda9478d4b3b5fdb333733d844a49ce939ad2a3d605fc73c9b50,d22aa6b8c78592f2c933cd69b6668f089dc6d65c94146c46697adcc4166e8e9f,f6bfcd688eea3b9f472fc253e624b73c86ac840704764a50654c6b30fb2d4720,23ce6d8baafec43f28ff41ced592c051ea42bc88ebce294f2203644a82b2ee8a,False
T137,T98,6,5,23069.849853515625,25469,0.0367090180516243,373,0,1b4aee072fdb88fecde5b8d8984f277ce82fe58fad266b9362a5defb17d61ca8,d815a7ca07c5a3b1a1f078aa9630f6d5c8637ecdb41e2481d76aa2c81b747fe9,6b016e41c01eccfd42ab2cd38237546c41886a2fb7201e6c03803a1be96e1ea9,0106cbded90472e5d25dd57ed5fe84a4287ab3c9c2b5cff7a265c32a712bc136,False
T161,T100,6,6,22924.45458984375,25477,0.036710096057504416,395,0,1f2222a412827bd068db94dca7a3d30028e61bff8a48b65e8cad0b14d33fd73e,24e8f3d78623de63d4a54e82e838984b5be9c673b0ad8bb4e9d8d71f574051b7,f9088ce032f1432c6740c0ece9f6221d3a7baac66ea3f7d0bdf66791d18123c5,882e0aae1a4e6c61e9d4bf775c8ff4270b6c61ead8cb2bb5ae8c63dcbc64aa09,False
T147,T105,6,7,22823.037475585938,25248,0.03671392658725381,285,0,be208479c67f0a6fe74678490d9eca5d822ced8f76885c7301bc63d016190c84,3329cd589de1c9c739640dc7db74057a6330416b2a92b84d9a69d89372242728,6992b4e27bba7297714ced20f048937433502541cbd96ce987970d70f8975f54,0c6fc8f2a516280899834c49871cf8a68247332d4963c019513588912293da1f,False
BASELINE_PATH,BASELINE_PATH,6,-1,24086.548095703125,25099,0.036782576236873865,0,0,6863910e7ed3345ef6ca004fa4126f73b5e2fadd1e91cd3346251a55ff298ed9,c447c10f576291d8a236714693319c19d9efc80326f3599f1119981bf2f6c028,cb0ccf01727d7914bf4d0100a821fbf40fbce0f731660a823a36892983256498,5f29c1dc24bb38bdf59297d55fde65c3ea98c3e0cb90b0d7fcf7caa41aca5dd5,True
T169,T145,7,0,25800.842041015625,27242,0.04093367885798216,111,0,4545f46b5989cad99a14aefdd2ff0629ac8c7f577bad83d3faecaa325e024f0f,4f20eaa8f1c80ed73772ef61b28f19ac0380b404bc686d129f07178a28a0f989,58fcee6746517b2f0fb033458e1d96b293077bb5a6a4d00605d4d12e79d3c88a,252e25946fa00eb18d6b69de11505b61e54f8184d59733a3067529ca3f1dbd25,False
T173,T153,7,1,26418.823974609375,27203,0.04108159290626645,12,0,0dbb6d6ab28a19fb79400ca3709ec40f2ec23a8fdd5ae857e08e9096aefe0e6e,0d1c1bd4582657e8feba3cbd345c3ef6031a1e70f623b49b0aeeebecfb0e0d65,2f9fbc58c06ee2a9de29265db4118344916109d5dead6ce973bdd80fc3117ab9,eb02abf753265873fe86718effe4a71b80d2bb4794bb5835124b0e072f549997,False
T170,T145,7,2,25582.684326171875,27343,0.04094236437231302,222,0,ba6a60690590040db428463bb190e52a7f65334ce4d241ec0449fc491f85a90b,04fff0f7991d0c0e67a23a2aa1d11640503924b7073a47a0ddab6f783da66043,f3eecfa0b5ddb5e8b6d16fab4833ae561f22ce8a049f859bea174000f3f43653,2e677c4c1ce1d3617594d89952d12775a87d906c1ef0ec623137575c191dcf82,False
T177,T146,7,3,25630.492919921875,27329,0.04094786988571286,229,0,89582223637f34ce5dbb40140d6672348d1c9653ad54fcc042fb9f3f050a1bde,3e6815b456b2a654935c22a27d97e549401699452140089f353575bc18131cc1,607e8c33af3b9353f8858597d3902d0ada5f296f1ef4238025a5a2dcd387fca3,658eeaf3dc717ccd452722c14a61a2a190eb3ed1933e27a3bc23216bf4627b5a,False
T171,T145,7,4,25348.901123046875,27334,0.04094827547669411,281,0,2e12eb9b31fdc332c2f55b32030fa0158e70be5988a86e2c3058f391596739bc,270ab7b4be040b72c61a5413769552da99ecbd27ea33dd4ade8045d700f404fb,8e2dc6eb993df971becf8321cf8f6036c488b2ca3872a8a4cbe4bfe0c408b9ac,c68ff0d544101c181bc973165ffa3f075e93e9190e23f1bb69fb472e78d2b0a4,False
T193,T161,7,5,25454.210205078125,27519,0.04095439147204161,395,0,959cacef072bc84d2820d0c60d9aba30592f2631d4a0d3c959f80ac2f3ef86d7,7de57b0fd2fc12cdb67c22cd773502758f517736e0815bd8a4149b9d3583c74f,e0478a276fae561f249bddbd5a1e6d35b545af928d209df955bd316e8cbecc06,f0059dc42aa37142a8ac5c651a05f681b7b98594701a6cf014508b838f901985,False
T178,T146,7,6,25397.535400390625,27428,0.040955234318971634,340,0,8d95244053ef2b23e57ef758033b6566b98143b7c008b0af96a2ed3aee971ab1,c5adc260a7526f8ec4179873e3366087bb6c64cbf95c090d961568db0a2f6abe,6c4ef7b45e7ec9d17c080acd30cfe7d6a068c6e24dfcfedd87ed91e7a84a7fbd,0e4fced167d7c6210809ad9226e4a318d3cfb6332f9dec4e22f85458073785b4,False
T197,T147,7,7,25522.722290039062,27329,0.040958674158900976,285,0,558ccc8b0af572a7a4282aad732ee34409ae0fb234b73eadb55ba13576d3fde6,6faf7c60281cc9dd68c26ea6c22a4723733a9554d4bdbe2889161aa7ab4fc4b2,163d87184dd3221cab9ba4def9877c543bd43dcff149992f2eb72619dab66960,42e4235ea7c13e619081a8f43d7ee15a6df1f5564806f6f718790ba124b2b656,False
BASELINE_PATH,BASELINE_PATH,7,-1,26533.8671875,27148,0.041073459666222334,0,0,4a8dad20acad473e6a25f09f92b763d3430ce1ebe78da7239d4bb39ee7dbabe3,0bfd8a7c99ae5c80b647c7367914618b2c1eaf65370d79a47d38a15e22198157,2c1dec1a86c4c6636264a8a7ef161b4af1463acfa7e88828636775e0fa8e675f,0375edb8e7ecabe433e5fe4c93cc9bdcc828e4a2a672f453c72d157622e1ef73,True
