method,kind,video,scope,frames,delta,target_P_frames,duration_seconds,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,diagnostic,rate_scope,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_full_CONTINUOUS,CONTINUOUS,ALL,IP,32,,30,1.0672,197744,,185.29235382308846,,,,,True,complete I/P sequence,24.34449937895987,0.8583246296945986,0.22548384871333838,0.5833023874222254,0.021011997601615918,-0.04989191424101591,2.5092157352914937,0.03049628472108486,0.0343869267962873,Train2_full
train2_full_CONTROL_C,CONTROL_C,ALL,TARGET_P,30,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,24.00349989224069,0.843368226026109,0.2654293273886045,0.051444367460385367,9.854252360484613e-05,-0.011642145613829294,2.105751938520938,0.010215115451038386,0.0782552848259608,Train2_full
train2_full_CONTROL_C,CONTROL_C,ALL,P,30,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,24.00349989224069,0.843368226026109,0.2654293273886045,0.051444367460385367,9.854252360484613e-05,-0.011642145613829294,2.105751938520938,0.010215115451038386,0.0782552848259608,Train2_full
train2_full_CONTROL_C,CONTROL_C,ALL,IP,32,,30,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,23.809426086031756,0.837405015708862,0.2644612514413893,0.04822909449411128,9.238361587954325e-05,-0.010914511512964964,1.9741424423633793,0.009576670735348486,0.07336432952433825,Train2_full
train2_full_DIRECT_l0,DIRECT,ALL,TARGET_P,30,0.024315478280186653,30,1.0672,197744,17960416,185.29235382308846,16829.47526236882,17014.767616191904,0.27365089699074074,90.82660409418237,False,complete I/P sequence,26.497405282497343,0.9087753197285553,0.18025451476375262,2.5453497577170454,0.06550563622605142,-0.09681695823868115,4.599657328777597,0.07562220915348496,-0.006919527798891068,Train2_full
train2_full_DIRECT_l0,DIRECT,ALL,P,30,0.024315478280186653,30,1.0672,197744,17960416,185.29235382308846,16829.47526236882,17014.767616191904,0.27365089699074074,90.82660409418237,False,complete I/P sequence,26.497405282497343,0.9087753197285553,0.18025451476375262,2.5453497577170454,0.06550563622605142,-0.09681695823868115,4.599657328777597,0.07562220915348496,-0.006919527798891068,Train2_full
train2_full_DIRECT_l0,DIRECT,ALL,IP,32,0.024315478280186653,30,1.0672,197744,17960416,185.29235382308846,16829.47526236882,17014.767616191904,0.27365089699074074,90.82660409418237,False,complete I/P sequence,26.147462389397376,0.8987241660549058,0.1846098646055907,2.3862653978597295,0.06141153396192321,-0.09076589834876359,4.312178745728998,0.07089582108139215,-0.006487057311460376,Train2_full
train2_full_DIRECT_l1,DIRECT,ALL,TARGET_P,30,0.048630956560373306,30,1.0672,197744,13592592,185.29235382308846,12736.686656671665,12921.979010494753,0.20782600308641974,68.73832834371713,False,complete I/P sequence,26.479005841461504,0.9084457809911755,0.1808176944653193,2.5269503166812006,0.06517609748867145,-0.09625377853711446,4.581257887741753,0.07529267041610499,-0.006356348097324371,Train2_full
train2_full_DIRECT_l1,DIRECT,ALL,P,30,0.048630956560373306,30,1.0672,197744,13592592,185.29235382308846,12736.686656671665,12921.979010494753,0.20782600308641974,68.73832834371713,False,complete I/P sequence,26.479005841461504,0.9084457809911755,0.1808176944653193,2.5269503166812006,0.06517609748867145,-0.09625377853711446,4.581257887741753,0.07529267041610499,-0.006356348097324371,Train2_full
train2_full_DIRECT_l1,DIRECT,ALL,IP,32,0.048630956560373306,30,1.0672,197744,13592592,185.29235382308846,12736.686656671665,12921.979010494753,0.20782600308641974,68.73832834371713,False,complete I/P sequence,26.130212913426274,0.898415223488612,0.18513784557580948,2.369015921888625,0.06110259139562949,-0.09023791737854481,4.294929269757893,0.07058687851509843,-0.005959076341241598,Train2_full
train2_full_DIRECT_l2,DIRECT,ALL,TARGET_P,30,0.09726191312074661,30,1.0672,197744,9334208,185.29235382308846,8746.446776611696,8931.739130434784,0.14365041473765433,47.203495428432724,False,complete I/P sequence,26.407159548023877,0.9071742740658524,0.18273118138313293,2.455104023243581,0.06390459056334846,-0.09434029161930084,4.509411594304134,0.074021163490782,-0.004442861179510752,Train2_full
train2_full_DIRECT_l2,DIRECT,ALL,P,30,0.09726191312074661,30,1.0672,197744,9334208,185.29235382308846,8746.446776611696,8931.739130434784,0.14365041473765433,47.203495428432724,False,complete I/P sequence,26.407159548023877,0.9071742740658524,0.18273118138313293,2.455104023243581,0.06390459056334846,-0.09434029161930084,4.509411594304134,0.074021163490782,-0.004442861179510752,Train2_full
train2_full_DIRECT_l2,DIRECT,ALL,IP,32,0.09726191312074661,30,1.0672,197744,9334208,185.29235382308846,8746.446776611696,8931.739130434784,0.14365041473765433,47.203495428432724,False,complete I/P sequence,26.062857013328504,0.8972231857461217,0.18693173956125975,2.301660021790857,0.05991055365313919,-0.08844402339309454,4.227573369660125,0.06939484077260813,-0.00416518235579133,Train2_full
train2_full_DIRECT_l3,DIRECT,ALL,TARGET_P,30,0.19452382624149323,30,1.0672,197744,5804312,185.29235382308846,5438.823088455772,5624.115442278861,0.09045343846450617,29.352657982037382,False,complete I/P sequence,26.078854854729478,0.9041571549877889,0.18704509908954303,2.126799329949177,0.06088747148528508,-0.09002637391289076,4.18110690100973,0.07100404441271863,-0.00012894347310066223,Train2_full
train2_full_DIRECT_l3,DIRECT,ALL,P,30,0.19452382624149323,30,1.0672,197744,5804312,185.29235382308846,5438.823088455772,5624.115442278861,0.09045343846450617,29.352657982037382,False,complete I/P sequence,26.078854854729478,0.9041571549877889,0.18704509908954303,2.126799329949177,0.06088747148528508,-0.09002637391289076,4.18110690100973,0.07100404441271863,-0.00012894347310066223,Train2_full
