cohort,video,method,kind,delta,base_bits,actual_enhancement_bits,budget_fraction,budget_bits,actual_fraction,actual_minus_budget_bits,within_budget,IP_PSNR_gain_vs_ZERO_D,IP_LPIPS_gain_vs_ZERO_D
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,92960,799400,0.25,23240.0,8.599397590361447,776160.0,False,0.30596272152256976,-0.028100822120904922
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,92960,799400,0.5,46480.0,8.599397590361447,752920.0,False,0.30596272152256976,-0.028100822120904922
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,104784,250720,0.1,10478.400000000001,2.392731714765613,240241.6,False,0.1714494153027628,-0.007020605728030205
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,104784,250720,0.25,26196.0,2.392731714765613,224524.0,False,0.1714494153027628,-0.007020605728030205
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l4,DIRECT,0.38904765248298645,104784,250720,0.5,52392.0,2.392731714765613,198328.0,False,0.1714494153027628,-0.007020605728030205
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,92960,7424,0.1,9296.0,0.07986230636833047,-1872.0,True,-6.628015609688731e-07,-5.323439836502075e-06
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,92960,7424,0.25,23240.0,0.07986230636833047,-15816.0,True,-6.628015609688731e-07,-5.323439836502075e-06
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,92960,7424,0.5,46480.0,0.07986230636833047,-39056.0,True,-6.628015609688731e-07,-5.323439836502075e-06
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,104784,1760,0.1,10478.400000000001,0.016796457474423578,-8718.400000000001,True,-8.72679079377825e-06,-1.3522803783416748e-06
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,104784,1760,0.25,26196.0,0.016796457474423578,-24436.0,True,-8.72679079377825e-06,-1.3522803783416748e-06
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l5,DIRECT,0.7780953049659729,104784,1760,0.5,52392.0,0.016796457474423578,-50632.0,True,-8.72679079377825e-06,-1.3522803783416748e-06
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l0,LEARNED,1.1303311586380005,92960,111360,0.1,9296.0,1.197934595524957,102064.0,False,0.057940418017744966,-0.00947677344083786
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l0,LEARNED,1.1303311586380005,92960,111360,0.25,23240.0,1.197934595524957,88120.0,False,0.057940418017744966,-0.00947677344083786
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l0,LEARNED,1.1303311586380005,92960,111360,0.5,46480.0,1.197934595524957,64880.0,False,0.057940418017744966,-0.00947677344083786
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l0,LEARNED,1.1303311586380005,104784,78384,0.1,10478.400000000001,0.7480531378836464,67905.6,False,0.13702333553674717,-0.008297208696603775
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l0,LEARNED,1.1303311586380005,104784,78384,0.25,26196.0,0.7480531378836464,52188.0,False,0.13702333553674717,-0.008297208696603775
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l0,LEARNED,1.1303311586380005,104784,78384,0.5,52392.0,0.7480531378836464,25992.0,False,0.13702333553674717,-0.008297208696603775
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l1,LEARNED,2.260662317276001,92960,99648,0.1,9296.0,1.071944922547332,90352.0,False,0.0579283256197467,-0.009449152275919914
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l1,LEARNED,2.260662317276001,92960,99648,0.25,23240.0,1.071944922547332,76408.0,False,0.0579283256197467,-0.009449152275919914
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l1,LEARNED,2.260662317276001,92960,99648,0.5,46480.0,1.071944922547332,53168.0,False,0.0579283256197467,-0.009449152275919914
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l1,LEARNED,2.260662317276001,104784,64776,0.1,10478.400000000001,0.6181859825927623,54297.6,False,0.13650836802142297,-0.008295679464936256
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l1,LEARNED,2.260662317276001,104784,64776,0.25,26196.0,0.6181859825927623,38580.0,False,0.13650836802142297,-0.008295679464936256
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l1,LEARNED,2.260662317276001,104784,64776,0.5,52392.0,0.6181859825927623,12384.0,False,0.13650836802142297,-0.008295679464936256
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l2,LEARNED,4.521324634552002,92960,88336,0.1,9296.0,0.9502581755593804,79040.0,False,0.057241463457308184,-0.009409559890627861
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l2,LEARNED,4.521324634552002,92960,88336,0.25,23240.0,0.9502581755593804,65096.0,False,0.057241463457308184,-0.009409559890627861
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l2,LEARNED,4.521324634552002,92960,88336,0.5,46480.0,0.9502581755593804,41856.0,False,0.057241463457308184,-0.009409559890627861
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l2,LEARNED,4.521324634552002,104784,52592,0.1,10478.400000000001,0.5019086883493663,42113.6,False,0.13443888193188447,-0.00824383832514286
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l2,LEARNED,4.521324634552002,104784,52592,0.25,26196.0,0.5019086883493663,26396.0,False,0.13443888193188447,-0.00824383832514286
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l2,LEARNED,4.521324634552002,104784,52592,0.5,52392.0,0.5019086883493663,200.0,False,0.13443888193188447,-0.00824383832514286
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l3,LEARNED,9.042649269104004,92960,58136,0.1,9296.0,0.6253872633390706,48840.0,False,0.05498408037395808,-0.009396431967616081
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l3,LEARNED,9.042649269104004,92960,58136,0.25,23240.0,0.6253872633390706,34896.0,False,0.05498408037395808,-0.009396431967616081
Train6_adaptation_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_Badapt_l3,LEARNED,9.042649269104004,92960,58136,0.5,46480.0,0.6253872633390706,11656.0,False,0.05498408037395808,-0.009396431967616081
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l3,LEARNED,9.042649269104004,104784,32592,0.1,10478.400000000001,0.31103985341273477,22113.6,False,0.12859703908799447,-0.008122863247990608
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l3,LEARNED,9.042649269104004,104784,32592,0.25,26196.0,0.31103985341273477,6396.0,False,0.12859703908799447,-0.008122863247990608
Train6_adaptation_sparse,c227e33d-910e-4e39-a325-0fe1d1116436,train6_Badapt_l3,LEARNED,9.042649269104004,104784,32592,0.5,52392.0,0.31103985341273477,-19800.0,True,0.12859703908799447,-0.008122863247990608
Train6_sparse,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train6_CODED_l0,LEARNED,1.1303311586380005,92960,72832,0.1,9296.0,0.7834767641996557,63536.0,False,0.11020176229332601,-0.012119811028242111
