cohort,method,video,residual_analysis_seconds,actual_entropy_encode_seconds,note,receiver_entropy_decode_seconds,receiver_base_decode_seconds,receiver_synthesis_seconds,receiver_peak_allocated_bytes,optimization_time_excluded_from_this_table
Train6_sparse,train6_DIRECT_l3,c227e33d-910e-4e39-a325-0fe1d1116436,0.01649893820285797,0.41110237687826157,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.7130956575274467,3.1266512349247932,2.5250070691108704,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.016491517424583435,0.5138672366738319,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.8198866918683052,3.1673417687416077,2.542398065328598,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l4,c227e33d-910e-4e39-a325-0fe1d1116436,0.01950940489768982,0.2312682643532753,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.416567899286747,3.044822759926319,2.5195668935775757,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l4,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.02059197425842285,0.2784319147467613,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.4509241133928299,3.238214947283268,2.5485492646694183,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l5,c227e33d-910e-4e39-a325-0fe1d1116436,0.01798279583454132,0.005150742828845978,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.0026153624057769775,3.167986772954464,2.79136673361063,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_DIRECT_l5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.02089894562959671,0.08064179867506027,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.13263940066099167,3.0154566913843155,2.6908275485038757,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l0,026aa77c-d036-41b7-a998-83c1911fe2bf,0.034080199897289276,0.15389826148748398,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.18563960492610931,3.2475544214248657,1.6434161961078644,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l0,2996c286-14c5-4157-95ba-f2a73fae0187,0.03242248296737671,0.17356354743242264,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.21975576132535934,3.1640639677643776,1.6433010175824165,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l0,30884276-8cb2-485e-b0ca-a22605c1801f,0.03409931808710098,0.1663895770907402,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.19183999300003052,3.553360231220722,1.6593998596072197,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Val6,val6_CODED_l0,46da3cc3-6beb-425c-a870-c8d7bae89311,0.03225245326757431,0.1552722081542015,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.19514435529708862,2.998871795833111,1.5739868506789207,1159090688,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
