dataset,video,qp,granularity,frame,trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,rate_ratio,cumulative_pixel_SSE,aggregate_MSE,beam_rank,bitstream_hash,DPB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T71,13022,13089,0.9948811979524792,174964.73837832193,0.007031440424797531,7,1b90fccd1606171c39237528b73773a99167cc7dee415a324ac9df8c9a29aa87,958bc0166380f784afb82348c878a3c33b2f6cb41ac519de05d16608ac069f03
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T73,12989,13089,0.9923599969439988,175145.5731722808,0.00703870776959076,8,fb38d9a0fd311b73482c06b2adc375feccdc10ab2ebe6505a183d16dd47e1e97,335c6a80bd5302a50573a186ef811a17dd7b426d70eb05581d884e95948f23ff
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T77,12845,13089,0.981358392543357,177028.80548105855,0.007114390652370215,9,10280fb6e50cb482abb0c7f94b3070ab77610a0ed52705d89417e628486cfa2e,b4ca29459367d2e1de3ab724f95431975642df60e69ed31c9e2fa68b0750dfdb
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T66,13150,13089,1.0046604018641607,173609.6987680382,0.006976984421940835,10,e0890d94d186154f1510d987fe5d8aed0c9d2e4751c0ae4c3748f6427dacdbb9,ade57e9de86425080c3f8c5f1bcd9df1c38d31f03e19a0cd7345f123f76f76b7
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T81,13145,13089,1.0042784017113606,173623.76552397766,0.006977549733313146,11,b0aa9c509b7182c85c98210849c4da1484fecff3d76ca8c8e6108bba53377288,5dae8e55d33ab676525ce0ea450fa6ba8a276fc4c6582fb0c5f8cb1d62a1eeed
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T82,13188,13089,1.0075636030254411,173631.51221326887,0.006977861055381497,12,b174a39d35271ee7f14f566978578ad1dc73def04dd785fd1999b5c67caff036,f03f2a3206d64782ce4562753e56a26c34ae1010498f06f4b520f3d113b5af5d
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T50,13134,13089,1.0034380013752005,173640.19969715254,0.006978210185874507,13,aab03febc5578c76893cf39a498dc5b7521583845ffc0867030ca609fcdcfd3e,b6a67371d5ff7a03a1d3ff7b2c8a3b9acf2e3bbf0d9e49078445033fdabb1b97
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T62,13199,13089,1.0084040033616013,173645.03204032997,0.006978404386908837,14,a92d4e66ca5d98ec1d92342c83c053e5e9b2f45241f13be2db481f5b9e02d07c,ee709b32b017e7bba76b1b2850b47f7090a95951f6f6814b919a3f640106f5e5
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,3,fresh_ulong_00_qp1_G16_T59,13160,13089,1.005424402169761,173645.54018453637,0.006978424808084827,15,2191cd42a13829b5c73c178fd69446dd5c8b3be4221426aec5963f745935110c,e339343718c707aefbb9d303ca30a653671a484bf41d378837f8fbe904f61aea
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,4,fresh_ulong_00_qp1_G16_T86,14351,14511,0.9889738818827096,212571.57650006685,0.006834219923484659,0,167c2a04cda3e8fb63c92eddf316dd00ca4796399db02b9a5cbd727fedaf4912,17e01d143edd203468ccdaa6f096a30f2899a52b0673447ce6f75c693411ac33
