dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,12,MIX_L0,40,29,0,11,0,1039,34818.541119315356,0.005597115959972143,22.52035668484517,0.23231713473796844,0.07691097259521484
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,12,MIX_L0.01,40,37,3,0,0,1035,34806.77832915106,0.005595225840806961,22.52182411507004,0.23230211436748505,0.07694035768508911
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,12,MIX_L0.03,40,38,2,0,0,1036,34817.78917529287,0.0055969953536987305,22.52045047644455,0.2322521209716797,0.07692277431488037
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,13,FULL_000,40,40,0,0,0,625,35753.59228788987,0.005747426766902208,22.405265555022797,0.24308739602565765,0.07769840955734253
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,13,MIX_L0,40,20,0,20,0,656,35758.557362911786,0.0057482244446873665,22.404662495347413,0.24328193068504333,0.07773661613464355
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,13,MIX_L0.01,40,34,6,0,0,656,35743.76485398963,0.0057458472438156605,22.406459445401868,0.2433311492204666,0.07773071527481079
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,13,MIX_L0.03,40,38,2,0,0,662,35744.0504244122,0.005745892878621817,22.406424748115835,0.24327990412712097,0.07772886753082275
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,14,FULL_000,40,40,0,0,0,1178,32533.82471275785,0.005229845643043518,22.815111164827737,0.24291962385177612,0.08030688762664795
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,14,MIX_L0,40,27,0,13,0,1225,32532.88631548942,0.00522969476878643,22.81523643341719,0.24275292456150055,0.08027184009552002
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,15,FULL_000,40,40,0,0,0,843,31425.76561610277,0.0050517236813902855,22.965603718425935,0.24275556206703186,0.08065676689147949
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,15,MIX_L0,40,23,0,17,0,886,31422.90417771788,0.005051264073699713,22.96599917847491,0.24305576086044312,0.08068186044692993
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,15,MIX_L0.01,40,38,2,0,0,883,31422.521471470915,0.005051202606409788,22.966052072447553,0.2428039163351059,0.08069401979446411
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,16,FULL_000,40,40,0,0,0,1164,28643.73382137883,0.004604509565979242,23.368166096204625,0.2469002902507782,0.083920419216156
