scope,dataset,video,video_id,qp,granularity,frame,channel,tile,num_symbols,exact_match_rate,MAE,mean_squared_error,RMSE,signed_error
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,25,1032192,0.9996270073784722,0.00037299262152777775,0.00037299262152777775,0.019313016893478287,-1.0656932043650793e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,26,1032192,0.9995572529141865,0.00044274708581349206,0.00044274708581349206,0.02104155616425487,-4.553416418650794e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,27,1032192,0.9994574652777778,0.0005425347222222222,0.0005425347222222222,0.02329237476562281,7.750496031746031e-06
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,28,1032192,0.9994836232018849,0.0005163767981150794,0.0005163767981150794,0.022723925675707517,-1.2594556051587301e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,29,1032192,0.9995204380580357,0.0004795619419642857,0.0004795619419642857,0.021898902757085472,2.0345052083333332e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,30,1032192,0.9998091440352183,0.00019085596478174603,0.00019085596478174603,0.01381506296698448,-1.0656932043650793e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,31,516096,0.9998604910714286,0.00013950892857142856,0.00013950892857142856,0.01181138978153835,-5.425347222222222e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,32,258048,0.9993954613095238,0.0006045386904761905,0.0006045386904761905,0.0245873685146701,-0.00010075644841269841
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,33,258048,0.9994187127976191,0.0005812872023809524,0.0005812872023809524,0.024109898431576862,-2.3251488095238094e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,34,258048,0.9994187127976191,0.0005812872023809524,0.0005812872023809524,0.024109898431576862,-1.5500992063492063e-05
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,35,258048,0.9994109623015873,0.0005890376984126984,0.0005890376984126984,0.024270098854613228,0.0
TILE,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,,,36,258048,0.999480716765873,0.0005192832341269841,0.0005192832341269841,0.022787786951061838,-7.750496031746031e-05
