dataset,video,video_id,qp,granularity,selection_label,target_rate_ratio,baseline_bytes,target_bytes,selection_type,selected_bytes,selected_rate_ratio,I_frame_bytes,z_bytes,w0_bytes,original_retained_w1_bytes,replacement_correction_bytes,mode_map_bytes,alignment_bytes,headers_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,total_pixel_SSE,total_pixels,aggregate_MSE,sequence_PSNR,mean_frame_PSNR,decode_status,bitstream_path,bitstream_sha256
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,TARGET_0.975,0.975,35312,34429,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,TARGET_0.95,0.95,35312,33546,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,TARGET_0.9,0.9,35312,31780,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,TARGET_0.8,0.8,35312,28249,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,BEST_RATE_WITH_NONWORSE_SSE,,35312,35311,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,BEST_SSE_UNDER_BASELINE_RATE,,35312,35312,REPLACEMENT,35312,1.0,3259,10668,18400,2732,0,0,0,253,0.0014269640669226646,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178,568118.9261892335,398131200,0.001426964091709551,28.45586955384729,28.47158724994585,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp1_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_10_qp1_G16_T3222.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,TARGET_0.99,0.99,60467,59862,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,TARGET_0.975,0.975,60467,58955,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,TARGET_0.95,0.95,60467,57443,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,TARGET_0.9,0.9,60467,54420,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,TARGET_0.8,0.8,60467,48373,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,BEST_RATE_WITH_NONWORSE_SSE,,60467,60466,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,BEST_SSE_UNDER_BASELINE_RATE,,60467,60467,REPLACEMENT,60467,1.0,4887,13663,36418,5237,0,0,0,262,0.001229947546562471,29.1175276946312,0.9851789195090532,0.06236264604376629,0.061576093547046185,489680.4979451034,398131200,0.0012299475598624358,29.10113404778386,29.1175276946312,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp3_G8_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_10_qp3_G8_T3822.bin,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,TARGET_0.99,0.99,60467,59862,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,TARGET_0.975,0.975,60467,58955,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,TARGET_0.95,0.95,60467,57443,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,TARGET_0.9,0.9,60467,54420,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,TARGET_0.8,0.8,60467,48373,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,BEST_RATE_WITH_NONWORSE_SSE,,60467,60466,REPLACEMENT,60180,0.9952536094067839,4887,13640,36151,5056,8,32,0,406,0.0012245789521330153,29.136634359877277,0.9852536832913756,0.06228812545305118,0.06110052764415741,487543.0935658362,398131200,0.001224578966847703,29.1201320420163,29.136634359877277,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp3_G16_BEST_RATE_WITH_NONWORSE_SSE_fresh_ulong_10_qp3_G16_T3546.bin,676afbc08c72e7455f657047674b01a830a2de7716cfda95253e9b245db6d12d
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,BEST_SSE_UNDER_BASELINE_RATE,,60467,60467,REPLACEMENT,60449,0.9997023169662791,4887,13618,36337,4949,15,57,0,586,0.0012199409566164832,29.153812477010028,0.9852777291089296,0.062302868405822664,0.061558003537356853,485696.5618118587,398131200,0.0012199409687355793,29.136611837290683,29.153812477010028,PASS,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v14_replacement_oracle/bitstreams/fresh_ulong_10_qp3_G16_BEST_SSE_UNDER_BASELINE_RATE_fresh_ulong_10_qp3_G16_T3519.bin,3a1c22e39bb884f090e93bfb983bedd842525ed27638e35014b11d1368016a2b
uvg,Beauty,0,1,G8,TARGET_0.99,0.99,22057,21836,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,TARGET_0.975,0.975,22057,21505,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,TARGET_0.95,0.95,22057,20954,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,TARGET_0.9,0.9,22057,19851,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
uvg,Beauty,0,1,G8,TARGET_0.8,0.8,22057,17645,TARGET_NOT_REACHED,,,,,,,,,,,,,,,,,,,,,,,
