scope,dataset,video,method,stage,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp1.bin,46129,f1b14338a17c9a89fed6e14da022673f437ce8b91a0880cc6c8fec30518caf88,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp2.bin,57928,86fc41a81dd8484a4bfe82dd23a481cb7db10db717f2b1566eb7c2b07bb31a57,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp3.bin,72804,bff11144c8d7d856aa583897633d67482288e92d4a21d3f1a3ce8ffd0323583b,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp0.bin,26082,39c05d10133ddd57e4ff3c502bc595796b2d37634924b4cd7c7b15f11a9f1d4a,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp1.bin,33916,574897b50bc6d6ca0a0188b64c2effac36c3b86c374e46d5803950d92c94ecb0,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp2.bin,44302,79de82003db351b9c7403b4b267cc87c8d4abb11c094c80772a5eb4a8609e8a0,True
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp3.bin,56555,029351abd89c5840b9d603a1f7d58fa5dfda82ad6fddd1e84d6d0b2e138a8621,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/original_qp0.bin,41938,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/original_qp1.bin,52078,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/original_qp2.bin,64056,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/original_qp3.bin,78986,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/stage_a_qp0.bin,42076,7c1e8d003ff35bef6a72f653488939c1815161939bf59778fbec02d90c4294c4,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/stage_a_qp1.bin,52726,3d2750c52e19319cc92ba3cc8d76e462cbb8026bd1a0863d1e0c1a5770ff8bc2,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/stage_a_qp2.bin,64380,60c755f23293562cb94ba3d2c7a2845f698f5534e14032433b95536bbb8c203a,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/stage_a_qp3.bin,80094,e83075a87866d268189b89d781abb3ad02ccde3e376b81de512f5db212946560,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_low_qp0.bin,39032,e543c55a9f3486520dd79ddefdc644157179dd8aadc53be9b8ac911c198c7366,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_low_qp1.bin,48977,a244fe99d5d75512104deb3b84782b35840f7500b0b767f0c1609595886376f9,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_low_qp2.bin,58554,cdc789b65513a0720ef3e0667a3390a46418b7fcc78930ae8a88db734aa09364,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_low_qp3.bin,72520,1440bf6e6925075c853818cf6d8f1b3e5515d5fc69dad2d75c503911da6a98bc,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_mid_qp0.bin,33089,60940b06d9e05b7184e37a8f2ffc10df29b59197950d7f07156996e0210048ae,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_mid_qp1.bin,42065,b7faa2e99340e819eb768703dc65a95be3ce66b64b5f83ef0f26c4b0286e5642,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_mid_qp2.bin,49951,28d7eb9000b73b27c8d8d293ab413972f5d5be0aa2f0cc09aa63c4df8b0656c1,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_mid_qp3.bin,63043,e77a7b4658757066a29f7bb5ba09b42e3023be1eb6111ad98914c6e0dcf6fd1f,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_high_qp0.bin,24858,ceae38e32f9ceb6dc561687bfec1f71b5e5b1c33f8fb1fcfa5b688f50a85fb6e,True
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_01/beta_high_qp1.bin,33537,33e21c88724d66cd481e1e55e38250a0a9424565182a13acabafe79208aa05f5,True
